date,country,year,yield,type,name,x,y
1967-06-26,US,1967,20,U,LatchkeyMidi Mist,1772,7255
1967-06-29,US,1967,10,U,LatchkeyUmber,1777,7245
1967-07-14,US,1967,10,U,CrosstieVito,1776,7253
1967-07-27,US,1967,22,U,CrosstieStanley,1776,7252
1967-08-04,US,1967,1.5,U,CrosstieGibson,1777,7245
1967-08-10,US,1967,10,U,CrosstieWasher,1776,7253
1967-08-18,US,1967,18,U,CrosstieBordeaux,1776,7244
1967-08-24,US,1967,0.8,U,CrosstieLexington,1775,7253
1967-08-31,US,1967,20,U,CrosstieDoor Mist,1772,7254
1967-09-07,US,1967,22,U,CrosstieYard,1776,7252
1967-09-15,US,1967,10,U,CrosstieGilroy,1777,7246
1967-09-21,US,1967,2.2,U,CrosstieMarvel,1776,7253
1967-09-27,US,1967,160,U,CrosstieZaza,1776,7249
1967-10-18,US,1967,160,U,CrosstieLanpher,1776,7250
1967-10-25,US,1967,9,U,CrosstieSazerac,1777,7246
1967-10-25,US,1967,10,U,CrosstieCognac,1776,7246
1967-10-25,US,1967,10,U,CrosstieWorth,1776,7253
1967-11-08,US,1967,20,U,CrosstieCobbler,1776,7248
1967-12-06,US,1967,0.2,U,CrosstiePolka,1776,7253
1967-12-10,US,1967,29,U,CrosstieGasbuggy,2022,7224
1967-12-15,US,1967,2,U,CrosstieStilt,1777,7246
1968-01-18,US,1968,7.4,U,CrosstieHupmobile,1776,7252
1968-01-19,US,1968,50,U,CrosstieStaccato,1776,7253
1968-01-19,US,1968,1e3,U,CrosstieFaultless,1771,7340
1968-01-24,US,1968,10,U,CrosstieBrush,1777,7246
1968-01-26,US,1968,2.3,C,CrosstieCabriolet,1764,7260
1968-01-31,US,1968,4,U,CrosstieMallet,1777,7243
1968-02-21,US,1968,10,U,CrosstieTorch,1777,7246
1968-02-21,US,1968,200,U,CrosstieKnox,1776,7250
1968-02-29,US,1968,20,U,CrosstieDorsal Fin,1771,7254
1968-03-05,US,1968,10,U,CrosstieRusset,1776,7242
1968-03-12,US,1968,1.08,C,CrosstieBuggy-A S,1767,7244
1968-03-14,US,1968,1.5,U,CrosstiePommard,1777,7246
1968-03-22,US,1968,120,U,CrosstieStinger,1769,7263
1968-03-25,US,1968,10,U,CrosstieMilk Shake,1779,7236
1968-04-04,US,1968,10,U,CrosstieBevel,1777,7246
1968-04-10,US,1968,20,U,CrosstieNoor S,1775,7252
1968-04-18,US,1968,20,U,CrosstieShuffle,1776,7252
1968-04-23,US,1968,6,U,CrosstieScroll,1767,7263
1968-04-26,US,1968,1300,U,CrosstieBoxcar,1764,7261
1968-05-03,US,1968,2,U,CrosstieHatchet,1777,7245
1968-05-08,US,1968,1,U,CrosstieCrock,1776,7253
1968-05-17,US,1968,20,U,CrosstieClarksmobile,1776,7251
1968-05-28,US,1968,10,U,CrosstieAdze,1778,7244
1968-06-05,US,1968,1.5,U,CrosstieWembley,1777,7246
1968-06-06,US,1968,10,U,CrosstieTub-A S,1776,7253
1968-06-15,US,1968,200,U,CrosstieRickey,1768,7259
1968-06-25,US,1968,10,U,CrosstieFunnel,1777,7246
1968-06-25,US,1968,10,U,CrosstieSevilla,1778,7246
1968-06-28,US,1968,58,U,CrosstieChateaugay,1764,7258
1968-07-17,US,1968,1.5,U,BowlineSpud,1777,7243
1968-07-30,US,1968,20,U,BowlineTanya,1775,7251
1968-08-09,US,1968,0.35,U,BowlineImp,1775,7253
1968-08-15,US,1968,1,U,BowlineRack,1776,7251
1968-08-27,US,1968,9,U,BowlineDiana Moon,1779,7236
1968-08-29,US,1968,200,U,BowlineSled,1768,7258
1968-09-06,US,1968,120,U,BowlineNoggin,1776,7251
1968-09-12,US,1968,20,U,BowlineKnife A,1777,7246
1968-09-17,US,1968,31,U,BowlineStoddard,1774,7251
1968-09-24,US,1968,20,U,BowlineHudson Seal,1772,7255
1968-10-03,US,1968,10,U,BowlineWelder,1777,7246
1968-10-03,US,1968,3,U,BowlineKnife C,1778,7245
1968-10-10,US,1968,1,U,BowlineVat,1776,7251
1968-10-29,US,1968,0.25,U,BowlineHula,1776,7250
1968-10-31,US,1968,1,U,BowlineBit-A S,1777,7246
1968-10-31,US,1968,7,U,BowlineFile,1776,7244
1968-11-04,US,1968,22,U,BowlineCrew,1775,7251
1968-11-04,US,1968,10,U,BowlineCrew-2nd S,1775,7251
1968-11-15,US,1968,1,U,BowlineAuger,1777,7246
1968-11-15,US,1968,8,U,BowlineKnife B,1777,7245
1968-11-20,US,1968,16,U,BowlineMing Vase,1772,7244
1968-11-22,US,1968,3,U,BowlineTinderbox,1776,7251
1968-12-08,US,1968,30,C,BowlineSchooner,1762,7264
1968-12-12,US,1968,10,U,BowlineBay Leaf,1777,7246
1968-12-12,US,1968,20,U,BowlineTyg-A S,1775,7251
1968-12-12,US,1968,1,U,BowlineScissors,1776,7243
1968-12-19,US,1968,1150,U,BowlineBenham,1764,7257
1969-01-15,US,1969,10,U,BowlinePackard,1776,7252
1969-01-15,US,1969,40,U,BowlineWineskin,1771,7256
1969-01-22,US,1969,2,U,BowlineShave,1778,7244
1969-01-30,US,1969,20,U,BowlineVise,1777,7246
1969-01-30,US,1969,10,U,BowlineBiggin,1776,7251
1969-02-04,US,1969,10,U,BowlineNipper,1777,7243
1969-02-04,US,1969,0.6,U,BowlineWinch,1776,7244
1969-02-12,US,1969,15,U,BowlineCypress,1771,7254
1969-03-18,US,1969,10,U,BowlineValise,1776,7251
1969-03-18,US,1969,0.8,U,BowlineChatty,1775,7253
1969-03-20,US,1969,10,U,BowlineBarsac,1777,7245
1969-03-21,US,1969,26,U,BowlineCoffer,1775,7251
1969-04-24,US,1969,0.8,U,BowlineGourd-Amber S,1775,7253
1969-04-30,US,1969,38,U,BowlineThistle,1777,7248
1969-04-30,US,1969,51,U,BowlineBlenton,1777,7248
1969-05-07,US,1969,90,U,BowlinePurse,1764,7260
1969-05-15,US,1969,2,U,BowlineAliment,1778,7244
1969-05-27,US,1969,10,U,BowlineIpecac-A S,1777,7244
1969-05-27,US,1969,22,U,BowlineTorrido,1778,7248
1969-06-12,US,1969,10,U,BowlineTapper,1777,7244
1969-06-26,US,1969,2,U,BowlineBowl-1 S,1775,7253
1969-07-16,US,1969,20,U,MandrelIldrim,1776,7251
1969-07-16,US,1969,120,U,MandrelHutch,1775,7251
1969-08-14,US,1969,1,U,MandrelSpider-A S,1776,7253
1969-08-27,US,1969,10,U,MandrelPliers,1776,7245
1969-08-27,US,1969,10,U,MandrelHorehound,1778,7243
1969-09-10,US,1969,40,U,MandrelRulison,2002,7385
1969-09-12,US,1969,5,U,MandrelMinute Steak,1779,7236
1969-09-16,US,1969,800,U,MandrelJorum,1764,7262
1969-09-20,US,1969,0.8,U,MandrelKyack-A S,1775,7253
1969-10-01,US,1969,10,U,MandrelSeaweed-C S,1777,7244
1969-10-02,US,1969,1e3,U,MandrelMilrow,9976,8095
1969-10-08,US,1969,200,U,MandrelPipkin,1765,7259
1969-10-16,US,1969,10,U,MandrelSeaweed B,1778,7244
1969-10-29,US,1969,11,U,MandrelCruet,1774,7251
1969-10-29,US,1969,16.7,U,MandrelPod-A S,1774,7251
1969-10-29,US,1969,110,U,MandrelCalabash,1776,7252
1969-11-13,US,1969,1.7,U,MandrelScuttle,1775,7253
1969-11-21,US,1969,22,U,MandrelPiccalilli,1777,7246
1969-11-21,US,1969,20,U,MandrelPlaner,1777,7246
1969-12-05,US,1969,20,U,MandrelDiesel Train,1771,7254
1969-12-10,US,1969,10,U,MandrelCulantro-A S,1777,7244
1969-12-10,US,1969,2.5,U,MandrelTun-A S,1775,7254
1969-12-17,US,1969,89,U,MandrelGrape A,1777,7248
1969-12-17,US,1969,16,U,MandrelLovage,1777,7244
1969-12-18,US,1969,38,U,MandrelTerrine-White S,1776,7251
1970-01-23,US,1970,8,U,MandrelFob-Green S,1776,7251
1970-01-30,US,1970,20,U,MandrelAjo,1776,7245
1970-02-04,US,1970,120,U,MandrelGrape B,1777,7249
1970-02-04,US,1970,97,U,MandrelBelen,1776,7246
1970-02-05,US,1970,25,U,MandrelLabis,1776,7253
1970-02-11,US,1970,12,U,MandrelDiana Mist,1772,7255
1970-02-25,US,1970,51,U,MandrelCumarin,1777,7246
1970-02-26,US,1970,70,U,MandrelYannigan-Red S,1776,7250
1970-03-06,US,1970,8.7,U,MandrelCyathus,1775,7245
1970-03-06,US,1970,3.5,U,MandrelArabis-Red S,1777,7251
1970-03-19,US,1970,6,U,MandrelJal,1777,7243
1970-03-23,US,1970,89,U,MandrelShaper,1777,7248
1970-03-26,US,1970,1900,U,MandrelHandley,1763,7261
1970-04-21,US,1970,12.7,U,MandrelSnubber,1778,7246
1970-04-21,US,1970,20,U,MandrelCan-Green S,1775,7250
1970-05-01,US,1970,1,U,MandrelBeebalm,1777,7247
1970-05-01,US,1970,10,U,MandrelHod-C (Blue),1777,7251
1970-05-01,US,1970,9,U,MandrelHod-A (Green) S,1776,7251
1970-05-05,US,1970,20,U,MandrelMint Leaf,1772,7256
1970-05-12,US,1970,10,U,MandrelDiamond Dust,1772,7244
1970-05-15,US,1970,45,U,MandrelCornice-Yellow S,1776,7253
1970-05-21,US,1970,1,U,MandrelManzanas,1778,7245
1970-05-21,US,1970,29,U,MandrelMorrones,1777,7248
1970-05-26,US,1970,9,U,MandrelHudson Moon,1771,7254
1970-05-26,US,1970,105,U,MandrelFlask-Green S,1776,7250
1970-05-28,US,1970,2.5,U,MandrelPiton-C,1777,7251
1970-05-28,US,1970,0.8,U,MandrelPiton-A S,1777,7252
1970-06-26,US,1970,3.5,U,MandrelArnica-Yellow S,1775,7250
1970-10-13,US,1970,1,U,EmeryScree-Acajou S,1776,7251
1970-10-14,US,1970,89,U,EmeryTijeras,1777,7248
1970-10-28,US,1970,10,U,EmeryTruchas-Chacon S,1777,7244
1970-11-05,US,1970,20,U,EmeryAbeytas,1777,7245
1970-11-19,US,1970,2,U,EmeryPenasco,1777,7244
1970-12-03,US,1970,10,U,EmeryCarrizozo S,1776,7243
1970-12-16,US,1970,10,U,EmeryCanjilon,1777,7248
1970-12-16,US,1970,45,U,EmeryArtesia,1777,7249
1970-12-16,US,1970,10,U,EmeryAvens-Andorre S,1776,7251
1970-12-17,US,1970,220,U,EmeryCarpetbag,1775,7251
1970-12-18,US,1970,10,U,EmeryBaneberry,1775,7254
1971-06-16,US,1971,18,U,EmeryEmbudo,1777,7246
1971-06-23,US,1971,10,U,EmeryDexter,1777,7244
1971-06-23,US,1971,20,U,EmeryLaguna,1777,7245
1971-06-24,US,1971,38,U,EmeryHarebell,1776,7252
1971-06-29,US,1971,20,U,EmeryCamphor,1771,7254
1971-07-01,US,1971,10,U,GrommetDiamond Mine,1772,7244
1971-07-08,US,1971,83,U,GrommetMiniata,1776,7250
1971-07-09,US,1971,0.25,U,GrommetBracken,1777,7253
1971-07-21,US,1971,0.25,U,GrommetApodaca,1778,7244
1971-08-04,US,1971,10,U,GrommetBarranca,1777,7245
1971-08-05,US,1971,10,U,GrommetNama-Amarylis S,1776,7252
1971-08-06,US,1971,10,U,GrommetBaltic,1776,7251
1971-08-18,US,1971,67,U,GrommetAlgodones,1776,7247
1971-09-22,US,1971,0.5,U,GrommetFrijoles-Deming S,1777,7245
1971-09-29,US,1971,4,U,GrommetPedernal,1777,7244
1971-09-29,US,1971,10,U,GrommetChantilly,1775,7251
1971-10-08,US,1971,7,U,GrommetCathay,1776,7250
1971-10-14,US,1971,5,U,GrommetLagoon,1776,7254
1971-11-06,US,1971,4800,U,GrommetCannikin,9974,8098
1971-11-24,US,1971,4,U,GrommetDiagonal Line,1779,7236
1971-11-30,US,1971,10,U,GrommetParnassia,1775,7253
1971-12-14,US,1971,24,U,GrommetChaenactis,1775,7251
1971-12-14,US,1971,11,U,GrommetHospah,1777,7245
1971-12-14,US,1971,5,U,GrommetYerba,1776,7245
1972-01-05,US,1972,10,U,GrommetMescalero,1777,7246
1972-02-03,US,1972,2,U,GrommetCowles,1777,7243
1972-02-17,US,1972,3.5,U,GrommetDianthus,1776,7253
1972-03-23,US,1972,4,U,GrommetSappho,1775,7250
1972-03-30,US,1972,10,U,GrommetOcate S,1777,7243
1972-04-19,US,1972,8,U,GrommetLongchamps,1775,7251
1972-04-19,US,1972,10,U,GrommetJicarilla,1777,7244
1972-05-02,US,1972,19,U,GrommetMisty North,1772,7256
1972-05-11,US,1972,0.5,U,GrommetKara,1775,7250
1972-05-17,US,1972,8,U,GrommetZinnia,1775,7251
1972-05-19,US,1972,12,U,GrommetMonero,1777,7247
1972-06-07,US,1972,0.8,U,GrommetMerida,1775,7250
1972-06-28,US,1972,0.6,U,GrommetCapitan,1775,7243
1972-06-28,US,1972,10,U,GrommetTajique,1778,7248
1972-06-28,US,1972,6,U,GrommetHaplopappus,1776,7251
1972-07-20,US,1972,21,U,ToggleDiamond Sculls,1772,7256
1972-07-25,US,1972,1.5,U,ToggleAtarque,1777,7244
1972-08-09,US,1972,10,U,ToggleCebolla S,1777,7244
1972-09-21,US,1972,160,U,ToggleOscuro,1776,7248
1972-09-26,US,1972,15,U,ToggleDelphinium,1775,7251
1972-11-09,US,1972,0.6,U,ToggleAkbar,1777,7253
1972-11-09,US,1972,0.6,U,ToggleArsenate,1777,7251
1972-11-17,US,1972,10,U,ToggleCanna-Umbrinus S,1777,7251
1972-12-12,US,1972,0.2,U,ToggleTuloso,1777,7246
1972-12-14,US,1972,10,U,ToggleSolanum,1776,7251
1972-12-21,US,1972,20,U,ToggleFlax-Source,1775,7251
1972-12-21,US,1972,110,U,ToggleFlax-Test S,1775,7251
1973-02-14,US,1973,10,U,ToggleAlumroot,1776,7252
1973-03-08,US,1973,67,U,ToggleMiera,1777,7249
1973-03-23,US,1973,0.2,U,ToggleGazook,1775,7250
1973-04-05,US,1973,10,U,ToggleNatoma,1776,7254
1973-04-25,US,1973,9,U,ToggleAngus S,1777,7243
1973-04-26,US,1973,0.5,U,ToggleColmor,1777,7244
1973-04-26,US,1973,90,U,ToggleStarwort,1776,7251
1973-05-09,US,1973,10,U,ToggleMesita,1777,7244
1973-05-17,US,1973,33,U,ToggleRio Blanco-1 S,1990,7408
1973-05-24,US,1973,15,U,ToggleCabresto,1777,7248
1973-05-24,US,1973,2,U,ToggleKashan,1776,7253
1973-06-05,US,1973,18,U,ToggleDido Queen,1771,7254
1973-06-06,US,1973,250,U,ToggleAlmendro,1768,7258
1973-06-21,US,1973,58,U,TogglePotrillo,1777,7248
1973-06-28,US,1973,24,U,TogglePortulaca,1775,7252
1973-06-28,US,1973,0.005,U,ToggleSilene,1776,7250
1973-10-02,US,1973,10,U,ArborPolygonum,1775,7253
1973-10-02,US,1973,1,U,ArborWaller,1776,7252
1973-10-12,US,1973,8,U,ArborHusky Ace,1772,7255
1973-11-28,US,1973,5,U,ArborBernal,1777,7244
1973-12-12,US,1973,5,U,ArborPajara,1777,7243
1973-12-13,US,1973,10,U,ArborSeafoam,1775,7253
1973-12-19,US,1973,10,U,ArborSpar,1777,7243
1973-12-19,US,1973,0.3,U,ArborElida,1777,7243
1974-01-10,US,1974,10,U,ArborPinodrops-Sloat S,1776,7254
1974-02-27,US,1974,150,U,ArborLatir,1776,7249
1974-03-14,US,1974,10,U,ArborHulsea,1776,7252
1974-04-12,US,1974,10,U,ArborSapello,1776,7244
1974-04-23,US,1974,0.5,U,ArborPotrero,1775,7253
1974-05-01,US,1974,10,U,ArborPlomo,1778,7246
1974-05-08,US,1974,10,U,ArborJib,1777,7243
1974-05-22,US,1974,2.5,U,ArborGrove,1775,7250
1974-06-06,US,1974,4,U,ArborJara,1777,7243
1974-06-19,US,1974,20,U,ArborMing Blade,1772,7256
1974-07-10,US,1974,150,U,BedrockEscabosa,1777,7248
1974-07-18,US,1974,2,U,BedrockCrestlake-Tansan S,1775,7251
1974-08-14,US,1974,5,U,BedrockPuye,1776,7245
1974-08-30,US,1974,160,U,BedrockPortmanteau,1775,7252
1974-09-25,US,1974,5,U,BedrockPratt,1777,7244
1974-09-26,US,1974,0.2,U,BedrockTrumbull,1775,7248
1974-09-26,US,1974,100,U,BedrockStanyan,1776,7251
1974-10-17,US,1974,10,U,BedrockEstaca,1776,7246
1974-10-28,US,1974,10,U,BedrockHybla Fair,1772,7255
1
