"FIPS","NAME","SHAPE_AREA","SHAPE_LEN","ending","1","2"
7040,"Clarksville",161773134.315,65671.0142177,"ville",-71.31333268582,45.0106855608131
7005,"Atkinson & Gilmanton",50950533.5197,31823.1583732,"ton",-71.1230304286712,44.9912151027543
7190,"Stewartstown",120924028.37,52366.6259836,"town",-71.4140097628513,44.9624633459958
7175,"Second College",107935502.344,42409.3496135,"lege",-71.1071367005057,44.9143560907376
7075,"Dixville",126931099.021,50381.8789712,"ville",-71.272466652502,44.8880821001231
7070,"Dixs Grant",51745985.2899,32097.4107261,"ant",-71.1927904889783,44.9142346113042
7045,"Colebrook",106223259.661,49465.2278152,"brook",-71.4146466960153,44.9004692180163
7050,"Columbia",158143105.938,57134.608087,"bia",-71.4672963162618,44.8271736512695
7210,"Wentworths Location",49836682.2251,34405.2958546,"worths",-71.1292218836693,44.8444885465608
7085,"Errol",179170231.847,53623.1831074,"ol",-71.1265096838357,44.7689760115346
7140,"Millsfield",117700624.078,44063.8691043,"field",-71.270360339506,44.7666749725769
7090,"Ervings Location",9459084.26545,12839.1139403,"ings",-71.3436146693179,44.80225824391
7150,"Odell",116809008.573,45554.0701075,"dell",-71.3786605433858,44.7290568357108
7195,"Stratford",209074346.736,62227.1586061,"ford",-71.5152329970306,44.7149880240253
7025,"Cambridge",132529036.979,46046.5524283,"bridge",-71.1075296484407,44.6604428631178
7080,"Dummer",126814623.724,45377.9984874,"mer",-71.2526411956146,44.6578659999894
7185,"Stark",154353776.083,53545.8932076,"ark",-71.4049823241077,44.6002141812256
7145,"Northumberland",95985639.733,61219.9621273,"land",-71.5175642772325,44.5768452530469
7200,"Success",153446263.838,54863.8263477,"cess",-71.0784262714569,44.5136501710756
7135,"Milan",161334396.758,55503.1946575,"lan",-71.2205066694871,44.5679972372502
7115,"Kilkenny",66709691.5882,44501.2175588,"kenny",-71.3957832535838,44.4962128583759
7120,"Lancaster",132858272.754,63931.5234491,"ter",-71.5463302384853,44.4762667859639
7020,"Berlin",161290351.9,55682.7326235,"lin",-71.2598383442274,44.4884729063322
7110,"Jefferson",130330045.935,49975.8227505,"on",-71.4640235770844,44.3981852752928
7095,"Gorham",83916521.7226,38066.9288051,"ham",-71.2038394108295,44.3961789345529
7165,"Randolph",120982929.61,45889.8025416,"olph",-71.3153413215957,44.3987569532143
7215,"Whitefield",89904385.223,48539.2788791,"field",-71.5907073441184,44.3743134849869
7180,"Shelburne",125580053.918,44696.6632502,"burne",-71.0881957567434,44.3911713776016
7065,"Dalton",72711158.1935,37164.4959588,"ton",-71.6797567326006,44.3884778307642
9125,"Littleton",140844338.986,60297.2419715,"ton",-71.8086201919409,44.3328417162436
7030,"Carroll",129825800.777,59783.0039442,"oll",-71.5046600860644,44.3008586006717
7125,"Low & Burbanks",67617814.5723,44173.8749053,"ow",-71.364338667788,44.3241906057951
7015,"Beans Purchase",170963053.025,58583.6799894,"eans",-71.1194335494476,44.289928459051
7130,"Martins Location",9547347.8387,12483.0882922,"tins",-71.2141399269323,44.3284646528362
7205,"Thompson & Meserve",47974832.7485,30829.4363269,"son",-71.2922891209046,44.3018358583184
9140,"Monroe",61690517.6204,42357.9115967,"row",-72.008731472562,44.2849234077255
9025,"Bethlehem",235745236.137,80560.4545262,"hem",-71.5962397710273,44.2536947910001
9130,"Lyman",74091771.0446,36582.9526178,"man",-71.9393169076679,44.2654644518342
7100,"Greens Grant",9508118.6316,12282.2537212,"eens",-71.2219150648996,44.3003617061009
7035,"Chandlers Purchase",5410014.7006,17117.1704955,"ers",-71.3581570661664,44.2618592352131
9120,"Lisbon",70021334.6023,34392.5996308,"on",-71.8602334207088,44.2408835977433
7055,"Crawfords Purchase",21338394.7851,19881.2888295,"fords",-71.4010040193813,44.2638020343459
7155,"Pinkhams Grant",9737555.08925,17724.1869666,"hams",-71.245794348234,44.2618862905288
