date,state,city,county,age,sex,vehicle_related,circumstance,location,activity,comments
2013-12-27,IL,Fairfield,Wayne,42,F,NA,NA,River,Driving,Drove her car into the backwaters of the Little Wabash River.
2013-12-24,OH,Tiffin,Seneca,58,M,NA,NA,River,Moving Items,"Believe he was moving things when he tripped and fell into flood
  waters.  Had suffered from health
  issues in the past, but was well lately."
2013-12-24,IN,Spencer,Owen,86,F,NA,NA,Road,Driving,"Car crashed along a flooded roadway as she was heading to a
  family gathering on Christmas eve."
2013-12-22,KY,New Hope,Nelson,36,F,NA,NA,River,Driving,"Vehicle tried to drive through flood waters at the Rolling Fork
  River.  Wind may have blown over a road
  closed sign."
2013-12-22,KY,New Hope,Nelson,51,M,NA,NA,River,Driving,"Vehicle tried to drive through flood waters at the Rolling Fork
  River.  Wind may have blown over a road
  closed sign."
2013-12-22,KY,New Hope,Nelson,61,M,NA,NA,River,Driving,"Vehicle tried to drive through flood waters at the Rolling Fork
  River.  Wind may have blown over a road
  closed sign."
2013-12-21,KY,Carrollton,Carroll,48,M,NA,NA,Creek,Driving ATV,"Person
  drowned after a four-wheeler attempted to cross a flooded waterway and
  overturned, trapping the victim."
2013-12-21,KY,Wicklife,Ballard,54,M,NA,NA,Creek,Driving,"Body found near a car that had been abandoned in a flooded
  ditch."
2013-11-22,TX,Austin,Hays,57,M,NA,NA,Creek,Walking,Fell into a flood control channel and drowned.
2013-10-31,TX,Austin,Hays,72,M,NA,NA,Creek,Driving,"Victim and his wife were trying to escape the flood waters by
  driving separate vehicles.  His stalled
  and he was swept away by the flood waters."
2013-10-31,TX,Dale,Caldwell,51,M,NA,NA,Creek,Driving,"Man drove on a low-lying portion of a road overtaken by
  flooding.  Victim was swept out of his
  car."
2013-10-31,TX,Austin,Hays,31,F,NA,NA,Creek,Driving,"Vehicle swept away from a road by rising waters in the Onion
  Creek."
2013-10-31,TX,Austin,Hays,0,M,NA,NA,Creek,Driving,"Vehicle swept away from a road by rising waters in the Onion
  Creek."
2013-10-31,TX,Canyon Lake,Comal,26,M,NA,NA,River,Walking,"Fell into the rain-swollen Guadalupe river when trying to save
  some equipment."
2013-10-31,TX,Austin,Hays,51,M,NA,NA,Creek,Living,Another homeless man living down by river.
2013-10-31,TX,Dale,Caldwell,57,F,NA,NA,Creek,Driving,Woman was a passenger in a car that was stuck in a creek.  Woman's body hasn't been found.
2013-10-13,TX,Austin,Travis,50,M,NA,NA,Creek,Living,"Homeless victim was discovered along Williamson Creek near
  Heartwood drive."
2013-09-15,CO,Colorado Springs,El Paso,47,M,NA,NA,Creek,Unknown,Man was found in West Fork of Sand Creek.
2013-09-14,NM,Alma,Catron,83,M,NA,NA,River,Driving,"Missing man's truck found wrapped in mud and flood debris in
  Silver Creek."
2013-09-13,CO,Cedar Cove,Larimer,61,F,NA,NA,River,In House,"Woman's house was ripped apart from flooding on Big Thompson
  River.  Witnesses saw her in the river
  around 230am."
2013-09-13,CO,Loveland,Larimer,79,F,NA,NA,River,In House,"House was washed away by floodwaters.  Woman was injured and couldn't get out of
  her house."
2013-09-13,NM,"Truth or
  Consequences",Sierra,53,M,NA,NA,Road,Driving,Drove through flood waters.
2013-09-12,CO,Colorado Springs,El Paso,54,M,NA,NA,Creek,In House,"Storms produced heavy rain across western Pueblo County and
  western El Paso County and the Waldo Canyon burn scar. Rural roads"
2013-09-12,CO,Lyons,Boulder,80,M,NA,NA,Creek,Driving,Drove through flood waters.
2013-09-11,CO,Jamestown,Boulder,72,M,NA,NA,Home,In House,NA
2013-09-11,CO,Boulder,Boulder,19,F,NA,NA,Creek,Driving,NA
2013-09-11,CO,Boulder,Boulder,19,M,NA,NA,Creek,Driving,"Couple was driving and had 'some type of interation' with water
  near Linden Avenue.  She got out and he
  tried to save her."
2013-08-29,AZ,Prescott,Yavapai,47,F,NA,NA,Creek,Washing,"Homeless lady was swept away by floodwaters while either bathing
  or playing in a local creek."
2013-08-25,CA,Needles,San Bernardino,77,F,NA,NA,Wash,Driving,"Found seatbelted in her car about a quarter of a mile north of
  the railroad bridge crossing Sacramento Wash and US 95."
2013-08-12,CO,Colorado Springs,El Paso,17,F,NA,NA,Bridge,Walking,"Daughter called parents to say she was caught in a storm after
  going for a walk and was trapped under a bridge."
2013-08-09,OK,Oklahoma City,Cleveland,60,M,NA,NA,Road,Driving,"Drowned while trying to rescue a relative that was stranded by
  flood waters.  He was swept into a
  drainage canal and drowned."
2013-08-09,CO,Manitou Springs,El Paso,53,M,NA,NA,Road,Driving,"Was returning home from work when his car was caught in the
  raging flood."
2013-08-08,MO,Jane,McDonald,69,F,NA,NA,Road,Driving,"Brush Creek overwhelmed highway 90 and flooded the road up to
  6ft high."
2013-08-07,SC,Central,Pickens,23,M,NA,NA,Road,Driving,"Man driving down the road when his car went into a ravine due to
  high waters."
2013-08-06,MO,Waynesville,Pulaski,4,M,NA,NA,Road,Driving,"Car swept
  off of a roadway.  Had made a distress
  call to 911 saying she was in trouble with flood waters."
2013-08-06,MO,Waynesville,Pulaski,23,F,NA,NA,Road,Driving,""""
2013-07-10,OH,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-07-08,NM,Santa Fe,Santa Fe,51,F,NA,NA,Arroyo,Walking,"Lived in a neighborhood a mile and a half north of where she was
  found.  Not sure why she was in the dry
  creek bed."
2013-07-04,VA,Springwood,Botetourt,42,M,NA,NA,Creek,Checking Culvert,"Victim tried to clear debris from the culvert when the hand rake
  he was using broke and he fell into the water."
2013-07-04,VA,Salem,Salem,54,M,NA,NA,Creek,Behind home,"Last seen in his yard behind his house and apparently was swept
  away in a swollen stream."
2013-06-28,NY,Fort Plain,Montgomery,87,F,NA,NA,Home,Stuck in House,"Mobile home was washed away off of its foundation while she was
  inside.  Police had asked her to
  evacuate, but she said it wasn't going to be that bad and didn't want to
  leave."
2013-06-27,PA,Beech Creek,Clinton,86,M,NA,NA,Road,Retrieving ATV,"Man was swept into a rain-swollen creek while trying to retrieve
  an ATV."
2013-06-20,ND,Gwinner,Sargent,48,M,NA,NA,Road,Driving,"Drove into the flooded road. 
  Strong current carried his pickup several ards before it went
  under.  He was trapped and couldn't
  kick out the windows."
2013-06-15,IL,Mount Sterling,Brown,2,M,NA,NA,Road,Driving,"Dad drove
  over a bridge, but rising water swept the car into the creek.  Father tried to save son, but couldn't find
  him."
2013-06-01,OK,Clearview,NA,69,F,NA,NA,Road,Driving,"Victim drowned inside her
  vehicle after driving into floodwaters along Alabama Creek south of
  Clearview. A 14 year old passenger escaped through the sunroof."
2013-05-31,OK,Oklahoma City,Cleveland,33,M,NA,NA,Drain,"Sheltering from
  Tornado in Drain","Extended family, including 4 children, were swept away by rains
  after hiding in a storm drain.  Family
  was panicked when they saw reports of tornadoes and sought shelter in the
  storm drain, a 7-ft drop from their property, which, in the end, was not hit
  by the winds.  Water in the drain rose
  quickly and hurled them through the dark, concrete tunnel."
2013-05-31,OK,Oklahoma City,Cleveland,34,F,NA,NA,Drain,"Sheltering from
  Tornado in Drain",""""
2013-05-31,OK,Oklahoma City,Cleveland,4,M,NA,NA,Drain,"Sheltering from
  Tornado in Drain",""""
2013-05-31,OK,Oklahoma City,Cleveland,34,F,NA,NA,Drain,"Sheltering from
  Tornado in Drain",""""
2013-05-31,OK,Oklahoma City,Cleveland,7,F,NA,NA,Drain,"Sheltering from
  Tornado in Drain",""""
2013-05-31,OK,Oklahoma City,Cleveland,4,M,NA,NA,Drain,"Sheltering from
  Tornado in Drain",""""
2013-05-31,OK,Oklahoma City,Cleveland,8,M,NA,NA,Drain,"Sheltering from
  Tornado in Drain",""""
2013-05-31,OK,Oklahoma City,Cleveland,21,M,NA,NA,Drain,"Sheltering from
  Tornado in Drain",Family sought shelter from the tornado in a drainage ditch.
2013-05-31,OK,Oklahoma City,Cleveland,4,F,NA,NA,Drain,"Sheltering from
  Tornado in Drain",Family sought shelter from the tornado in a drainage ditch.
2013-05-31,OK,Oklahoma City,Cleveland,3,F,NA,NA,Drain,"Sheltering from
  Tornado in Drain",Family sought shelter from the tornado in a drainage ditch.
2013-05-31,OK,Oklahoma City,Cleveland,0,F,NA,NA,Drain,"Sheltering from
  Tornado in Drain",Family sought shelter from the tornado in a drainage ditch.
2013-05-31,OK,Harrah,Oklahoma,65,M,NA,NA,Road,Driving,Drove his car off of a bridge amid heavy flooding.  Was on his way to work.
2013-05-31,MO,Mount Vernon,Lawrence,72,M,NA,NA,Road,Driving,"Drowned after the vehicle he was riding in was swept off the
  road at a low water crossing."
2013-05-31,MO,Eldon,Miller,17,M,NA,NA,Culvert,Walking,"Was last seen playing in several feet of water when the quickly
  rising waters pulled him into a nearby culvert that drains into Saline Creek."
2013-05-30,AR,Y City,Scott,41,M,NA,NA,River,Walking,"Sheriff was checking on reports that residents of a home might
  be in danger.  Got out of the boat and
  went inside a home to help two female victims."
2013-05-30,AR,Y City,Scott,32,M,NA,NA,River,Walking,""""
2013-05-30,AR,Y City,Scott,60,F,NA,NA,River,Stuck in House,"Stuck in a house and were attempted to be rescued by
  sheriff/wildlife officer. House collapsed due to flood waters."
2013-05-30,AR,Y City,Scott,65,F,NA,NA,River,Stuck in House,"Stuck in a house and were attempted to be rescued by
  sheriff/wildlife officer. House collapsed due to flood waters."
2013-05-30,AR,Y City,Scott,41,F,NA,NA,Road,Driving,Flood waters trapped her under her car on US 71.
2013-05-30,AR,Little Rock,Pulaski,18,M,NA,NA,Creek,Walking,Body found in Coleman Creek on campus of U of A-Little Rock.
2013-05-27,IA,Parkersburg,Butler,71,M,NA,NA,Road,Driving,"Drove his SUV over rapidly moving water with the vehicle getting
  swept into a creek."
2013-05-25,TX,San Antonio,Bexar,30,F,NA,NA,Road,Driving,Drove through flood waters.
2013-05-25,TX,San Antonio,Bexar,81,F,NA,NA,Road,Driving,"Car was trapped in a creek. 
  Rescuers managed to reach her car and broke a window to reach her,
  then the currents changed and the car flipped over."
2013-05-25,TX,Schertz,Guadalupe,18,M,NA,NA,Creek,Walking,Attempted to cross Cibolo Creek.
2013-05-07,GA,Plainville,Floyd,51,M,NA,NA,Road,Driving,"A car drove into high waters after a high speed chase with the
  cops.  The driver got out and tried to
  swim away.  Found body a few days
  later."
2013-05-04,IL,Peoria,Peoria,33,M,NA,NA,River,Driving,Drove through flood waters.
