date,state,city,county,age,sex,vehicle_related,circumstance,location,activity,comments
2011-08-28,NY,Altona,Clinton,24,F,Yes,NA,NA,NA,NA
2011-08-28,NY,Croton,Westchester,53,M,NA,NA,NA,NA,NA
2011-08-28,PA,"Fort
  Washington",Montgomery,65,F,Yes,NA,NA,NA,NA
2011-08-28,VT,Mendon,Rutland,55,M,NA,NA,NA,NA,NA
2011-08-28,VT,Mendon,Rutland,25,M,NA,NA,NA,NA,NA
2011-08-23,PR,Cohitre,Carolina,62,F,Yes,NA,NA,NA,NA
2011-08-19,PA,Pittsburgh,Allegheny,45,F,Yes,NA,NA,NA,NA
2011-08-19,PA,Pittsburgh,Allegheny,12,F,Yes,NA,NA,NA,NA
2011-08-19,PA,Pittsburgh,Allegheny,8,F,Yes,NA,NA,NA,NA
2011-08-19,PA,Pittsburgh,Allegheny,72,F,Yes,NA,NA,NA,NA
2011-08-15,NJ,"East
  Greenwich",Gloucester,55,F,Yes,NA,NA,NA,NA
2011-08-05,NC,Charlotte,Mecklenburg,43,F,NA,NA,NA,NA,NA
2011-08-05,NC,Charlotte,Mecklenburg,16,F,NA,NA,NA,NA,NA
2011-07-27,IL,Galena,"Jo
  Daviess",75,M,Yes,NA,NA,NA,NA
2011-07-27,IL,Galena,"Jo
  Daviess",70,F,Yes,NA,NA,NA,NA
2011-07-27,IL,Galena,"Jo
  Daviess",NA,M,NA,NA,NA,NA,NA
2011-07-19,WY,Saratoga,Carbon,39,F,Yes,NA,NA,NA,NA
2011-07-19,WY,Saratoga,Carbon,8,F,Yes,NA,NA,NA,NA
2011-07-19,WY,Saratoga,Carbon,5,F,Yes,NA,NA,NA,NA
2011-07-19,WY,Saratoga,Carbon,2,F,Yes,NA,NA,NA,NA
2011-07-13,UT,Duchesne,Duchesne,15,F,Yes,NA,NA,NA,NA
2011-07-10,HI,Hilo,Hawaii,43,M,NA,NA,NA,NA,NA
2011-07-05,MO,Bartlett,Shannon,63,M,Yes,NA,NA,NA,NA
2011-07-05,MO,Bartlett,Shannon,63,M,Yes,NA,NA,NA,NA
2011-07-05,MO,Bartlett,Shannon,63,M,Yes,NA,NA,NA,NA
2011-06-21,SD,Reliance,Lyman,56,F,Yes,NA,NA,NA,NA
2011-06-21,SD,Reliance,Lyman,61,F,Yes,NA,NA,NA,NA
2011-06-20,KY,Kayjay,Knox,55,M,NA,NA,NA,NA,NA
2011-06-20,TN,Harrogate,Claiborne,54,M,NA,NA,NA,NA,NA
2011-06-18,IL,Chatham,Sangamon,75,M,Yes,NA,NA,NA,NA
2011-05-25,AR,George,Newton,21,M,NA,NA,NA,NA,NA
2011-05-24,MT,Hardin,"Big
  Horn",62,M,NA,NA,NA,NA,NA
2011-05-23,AR,Gallatin,Benton,25,F,Yes,NA,NA,NA,NA
2011-05-23,AR,Gallatin,Benton,30,F,Yes,NA,NA,NA,NA
2011-05-23,AR,Gallatin,Benton,5,NA,Yes,NA,NA,NA,NA
2011-05-23,AR,Gallatin,Benton,0,NA,Yes,NA,NA,NA,NA
2011-05-22,MT,Pryor,Yellowstone,47,M,NA,NA,NA,NA,NA
2011-05-21,MT,Boyd,Carbon,84,F,NA,NA,NA,NA,NA
2011-05-14,AR,Delaplaine,Greene,65,M,Yes,NA,NA,NA,NA
2011-05-12,OH,"Franklin
  Furnace",Scioto,47,M,NA,NA,NA,NA,NA
2011-05-11,AR,"Cherry
  Valley",Cross,57,M,Yes,NA,NA,NA,NA
2011-05-07,AR,Pocahontas,Randolph,31,F,Yes,NA,NA,NA,NA
2011-05-04,AR,"Des
  Arc",Prairie,53,M,NA,NA,NA,NA,NA
2011-05-03,AR,Ward,Lonoke,55,M,Yes,NA,NA,NA,NA
2011-05-01,AR,Mayflower,Faulkner,57,M,Yes,NA,NA,NA,NA
2011-04-30,NY,Dexter,Jefferson,68,M,NA,NA,NA,NA,NA
2011-04-27,LA,Monroe,Ouachita,70,F,Yes,NA,NA,NA,NA
2011-04-27,LA,Monroe,Ouachita,45,M,Yes,NA,NA,NA,NA
2011-04-27,MS,"Holly
  Springs",Marshall,66,M,Yes,NA,NA,NA,NA
2011-04-27,TN,Dunlap,Sequatchie,NA,Unkn,NA,NA,NA,NA,NA
2011-04-25,AR,Bentonville,Benton,56,M,Yes,NA,NA,NA,NA
2011-04-25,AR,Bentonville,Benton,50,M,Yes,NA,NA,NA,NA
2011-04-25,AR,Witter,Madison,75,F,Yes,NA,NA,NA,NA
2011-04-25,AR,Witter,Madison,75,M,Yes,NA,NA,NA,NA
2011-04-25,AR,"West
  Fork",Washington,38,F,Yes,NA,NA,NA,NA
2011-04-25,AR,Perryville,Perry,53,M,NA,NA,NA,NA,NA
2011-04-25,MO,"West
  Plains",Howell,65,M,Yes,NA,NA,NA,NA
2011-04-23,MO,Hardenville,Ozark,54,M,Yes,NA,NA,NA,NA
2011-04-16,VA,Waynesboro,Waynesboro,41,F,NA,NA,NA,NA,NA
2011-04-16,VA,Waynesboro,Waynesboro,8,F,NA,NA,NA,NA,NA
2011-04-16,WV,Sandyville,Jackson,79,M,Yes,NA,NA,NA,NA
2011-04-12,VT,Milton,Chittenden,26,M,NA,NA,NA,NA,NA
2011-03-22,MN,"St.
  Peter",Nicollet,39,M,NA,NA,NA,NA,NA
2011-03-20,AR,Luxora,Mississippi,77,F,Yes,NA,NA,NA,NA
2011-03-20,KY,"NW
  Paducah",McCracken,90,M,Yes,NA,NA,NA,NA
2011-03-10,PA,"Pine
  Grove",Schuylkill,74,M,Yes,NA,NA,NA,NA
2011-02-28,OH,Norwalk,Huron,51,F,Yes,NA,NA,NA,NA
2011-02-25,CA,Gilroy,"Santa
  Clara",43,M,NA,NA,NA,NA,NA
2011-02-24,KY,Dublin,Graves,0.5,F,Yes,NA,NA,NA,NA
2011-02-24,KY,Dublin,Graves,5,F,Yes,NA,NA,NA,NA
2011-02-24,KY,Dublin,Graves,8,M,Yes,NA,NA,NA,NA
2011-02-24,KY,Dublin,Graves,11,F,Yes,NA,NA,NA,NA
2010-10-01,PA,Collegeville,Montgomery,55,F,NA,NA,NA,NA,NA
2010-10-01,NY,Bradley,Sullivan,55,F,NA,NA,NA,NA,NA
2010-09-30,NC,Creswell,Washington,25,M,NA,NA,NA,NA,NA
2010-09-30,NC,Creswell,Washington,26,F,NA,NA,NA,NA,NA
2010-09-30,NC,Creswell,Washington,3,M,NA,NA,NA,NA,NA
2010-09-30,NC,Creswell,Washington,3,M,NA,NA,NA,NA,NA
2010-09-30,NC,Creswell,Washington,1,F,NA,NA,NA,NA,NA
2010-09-22,NM,Albuquerque,Bernardillo,27,M,NA,NA,NA,NA,NA
2010-09-20,TX,Corpus Christi,Nueces,35,M,NA,NA,NA,NA,NA
2010-09-09,OK,Stilwell,Adair,19,M,NA,NA,NA,NA,NA
2010-09-08,TX,Bulverde,Bexar,57,M,NA,NA,NA,NA,NA
2010-09-08,TX,Alvarado,Johnson,49,M,NA,NA,NA,NA,NA
2010-09-08,TX,Austin,Travis,51,F,NA,NA,NA,NA,NA
2010-09-08,TX,Georgetown,Williamson,42,M,NA,NA,NA,NA,NA
2010-09-07,TX,Killeen,Bell,19,F,NA,NA,NA,NA,NA
2010-08-20,IL,Springfield,Sangamon,23,F,NA,NA,NA,NA,NA
2010-08-17,VA,Weber City,Scott,16,M,NA,NA,NA,NA,NA
2010-08-11,IA,Altoona,Polk,16,F,NA,NA,NA,NA,NA
2010-08-10,PR,NA,Ceiba,21,M,NA,NA,NA,NA,NA
2010-08-01,TX,Pharr,Hidalgo,22,M,NA,NA,NA,NA,NA
2010-07-25,WV,Julian,Boone,41,M,NA,NA,NA,NA,NA
2010-07-22,WI,Milwaukee,Milwaukee,19,M,NA,NA,NA,NA,NA
2010-07-21,OH,Franklin Furnace,Scioto,53,F,NA,NA,NA,NA,NA
2010-07-20,AZ,Sunset Crater,Coconino,12,F,NA,NA,NA,NA,NA
2010-07-20,KY,Soldier,Carter,72,F,NA,NA,NA,NA,NA
2010-07-20,MO,Louisiana,Pike,48,F,NA,NA,NA,NA,NA
2010-07-17,KY,Pikeville,Pike,59,F,NA,NA,NA,NA,NA
2010-07-13,NC,Lexington,Davidson,1,M,NA,NA,NA,NA,NA
2010-07-13,PA,Fox Chase,Philadelphia,20,M,NA,NA,NA,NA,NA
2010-07-06,OK,Oklahoma City,Oklahoma,13,M,NA,NA,NA,NA,NA
2010-07-02,TX,St. Paul,San Patricio,83,M,NA,NA,NA,NA,NA
2010-07-02,TX,St. Paul,San Patricio,84,F,NA,NA,NA,NA,NA
2010-06-15,NE,Norfolk,Madison,38,M,NA,NA,NA,NA,NA
2010-06-14,OK,Lawton,Comanche,50,M,NA,NA,NA,NA,NA
2010-06-11,AR,Montgomery,Montgomery,6,F,NA,NA,NA,NA,NA
2010-06-11,AR,Montgomery,Montgomery,34,M,NA,NA,NA,NA,NA
2010-06-11,AR,Montgomery,Montgomery,53,F,NA,NA,NA,NA,NA
2010-06-11,AR,Montgomery,Montgomery,23,F,NA,NA,NA,NA,NA
2010-06-11,AR,Montgomery,Montgomery,34,M,NA,NA,NA,NA,NA
2010-06-11,AR,Montgomery,Montgomery,51,M,NA,NA,NA,NA,NA
2010-06-11,AR,Montgomery,Montgomery,52,F,NA,NA,NA,NA,NA
2010-06-11,AR,Montgomery,Montgomery,69,F,NA,NA,NA,NA,NA
2010-06-11,AR,Montgomery,Montgomery,38,M,NA,NA,NA,NA,NA
2010-06-11,AR,Montgomery,Montgomery,8,M,NA,NA,NA,NA,NA
2010-06-11,AR,Montgomery,Montgomery,68,M,NA,NA,NA,NA,NA
2010-06-11,AR,Montgomery,Montgomery,30,M,NA,NA,NA,NA,NA
2010-06-11,AR,Montgomery,Montgomery,5,M,NA,NA,NA,NA,NA
2010-06-11,AR,Montgomery,Montgomery,2,F,NA,NA,NA,NA,NA
2010-06-11,AR,Montgomery,Montgomery,7,F,NA,NA,NA,NA,NA
2010-06-11,AR,Montgomery,Montgomery,46,F,NA,NA,NA,NA,NA
2010-06-11,AR,Montgomery,Montgomery,43,F,NA,NA,NA,NA,NA
2010-06-11,AR,Montgomery,Montgomery,3,M,NA,NA,NA,NA,NA
2010-06-11,AR,Montgomery,Montgomery,67,F,NA,NA,NA,NA,NA
2010-06-11,AR,Montgomery,Montgomery,8,F,NA,NA,NA,NA,NA
2010-06-09,OH,Cedron,Clermont,8,M,NA,NA,NA,NA,NA
2010-06-09,OH,Cedron,Clermont,11,M,NA,NA,NA,NA,NA
2010-06-09,TX,New Braunfels,Comal,65,M,NA,NA,NA,NA,NA
2010-05-28,PR,Barranquitas,Barranquitas,58,M,NA,NA,NA,NA,NA
2010-05-28,PR,Barranquitas,Barranquitas,54,F,NA,NA,NA,NA,NA
2010-05-15,MO,Monticello,Lewis,25,F,NA,NA,NA,NA,NA
2010-05-15,TX,Little York,Harris,47,F,NA,NA,NA,NA,NA
2010-05-15,TX,Midland,Midland,46,F,NA,NA,NA,NA,NA
2010-05-12,MO,Lancaster,Schuyler,32,M,NA,NA,NA,NA,NA
2010-05-03,TN,Palmyra,Montgomery,63,F,NA,NA,NA,NA,NA
2010-05-02,TN,Nashville,Davidson,18,M,NA,NA,NA,NA,NA
2010-05-02,KY,Stanford,Lincoln,47,M,NA,NA,NA,NA,NA
2010-05-02,KY,Dry Fork,Barren,27,F,NA,NA,NA,NA,NA
2010-05-02,KY,Redhouse,Madison,65,M,NA,NA,NA,NA,NA
2010-05-02,MS,Lone Pine,Alcorn,66,M,NA,NA,NA,NA,NA
2010-05-02,OH,Bishopville,Morgan,35,M,NA,NA,NA,NA,NA
2010-05-02,OH,Bishopville,Morgan,30,M,NA,NA,NA,NA,NA
2010-05-02,TN,Lobelville,Perry,44,M,NA,NA,NA,NA,NA
2010-05-02,TN,Lobelville,Perry,15,F,NA,NA,NA,NA,NA
2010-05-02,TN,Centerville,Hickman,70,F,NA,NA,NA,NA,NA
2010-05-02,TN,Nashville,Davidson,74,M,NA,NA,NA,NA,NA
2010-05-02,TN,Nashville,Davidson,70,M,NA,NA,NA,NA,NA
2010-05-02,TN,Nashville,Davidson,65,F,NA,NA,NA,NA,NA
2010-05-01,AR,Bryant,Saline,45,M,NA,NA,NA,NA,NA
2010-05-01,KY,Forest Springs,Allen,34,M,NA,NA,NA,NA,NA
2010-05-01,TN,Nashville,Davidson,21,M,NA,NA,NA,NA,NA
2010-05-01,TN,Nashville,Davidson,80,F,NA,NA,NA,NA,NA
2010-05-01,TN,Nashville,Davidson,75,M,NA,NA,NA,NA,NA
2010-05-01,TN,Nashville,Davidson,88,M,NA,NA,NA,NA,NA
2010-05-01,TN,Nashville,Davidson,78,F,NA,NA,NA,NA,NA
2010-05-01,TN,Bellvue,Davidson,86,F,NA,NA,NA,NA,NA
2010-05-01,TN,Bellvue,Davidson,39,M,NA,NA,NA,NA,NA
2010-05-01,TN,Yuma,Carroll,81,M,NA,NA,NA,NA,NA
2010-05-01,TN,Raleigh,Shelby,32,M,NA,NA,NA,NA,NA
2010-05-01,TN,Humboldt,Gibson,30,M,NA,NA,NA,NA,NA
2010-05-01,TN,Mason,Tipton,55,M,NA,NA,NA,NA,NA
2010-05-01,TN,Tennessee Ridge,Stewart,62,F,NA,NA,NA,NA,NA
2010-05-01,TN,Tennessee Ridge,Stewart,64,M,NA,NA,NA,NA,NA
2010-05-01,TN,Leiper's Fork,Williamson,70,M,NA,NA,NA,NA,NA
2010-04-30,AR,Union Hall,Scott,63,M,NA,NA,NA,NA,NA
2010-04-23,PR,Yauco,Yauco,68,M,NA,NA,NA,NA,NA
2010-04-15,TX,Hunt,Kerr,73,M,NA,NA,NA,NA,NA
2010-03-13,WV,Bradley,Raleigh,59,F,NA,NA,NA,NA,NA
2010-03-13,WV,Beaver,Raleigh,32,M,NA,NA,NA,NA,NA
2010-02-04,TX,Leon Springs,Bexar,55,M,NA,NA,NA,NA,NA
2010-01-21,AZ,Mayer,Yavapai,6,M,NA,NA,NA,NA,NA
2010-01-20,CA,Campbell,Santa Clara,NA,M,NA,NA,NA,NA,NA
2010-01-20,CA,Thousand Oaks,Ventura,40,M,NA,NA,NA,NA,NA
