idx,name,class,start,end,cost,col2,date,date2,mid,monday,year,display_name,label
187,Western Severe Storms and Flooding,ind severe-storm-ind,1986-02-14,1986-02-16,1.2,#9d76b0,1986-02-14,1986-02-16,1986-02-15,2017-02-15,1986,Western Severe Storms and Flooding,NA
188,Western Fire Season,ind wildfire-ind,1994-06-01,1994-11-30,1.2,#9b0e11,1994-06-01,1994-11-30,1994-08-31,2017-08-31,1994,Western Fire Season,NA
189,"Severe Storms, Tornadoes",ind severe-storm-ind,1991-03-26,1991-03-29,1.2,#9d76b0,1991-03-26,1991-03-29,1991-03-27,2017-03-27,1991,"Severe Storms, Tornadoes",NA
190,Severe storms,ind severe-storm-ind,1982-05-31,1982-06-10,1.2,#9d76b0,1982-05-31,1982-06-10,1982-06-05,2017-06-05,1982,Severe storms,NA
191,Midwest/ Plains Severe Weather,ind severe-storm-ind,2003-07-04,2003-07-09,1.2,#9d76b0,2003-07-04,2003-07-09,2003-07-06,2017-07-06,2003,Midwest/Plains Severe Weather,NA
192,Western Wildfires,ind wildfire-ind,2009-06-01,2009-11-30,1.2,#9b0e11,2009-06-01,2009-11-30,2009-08-31,2017-08-31,2009,Western Wildfires,NA
193,Southern Severe Weather,ind severe-storm-ind,2016-03-17,2016-03-18,1.2,#9d76b0,2016-03-17,2016-03-18,2016-03-17,2017-03-17,2016,Southern Severe Weather,NA
194,Southern Severe Weather,ind severe-storm-ind,2008-04-09,2008-04-11,1.2,#9d76b0,2008-04-09,2008-04-11,2008-04-10,2017-04-10,2008,Southern Severe Weather,NA
195,Rockies/ Central Tornadoes and Severe Weather,ind severe-storm-ind,2016-05-21,2016-05-26,1.2,#9d76b0,2016-05-21,2016-05-26,2016-05-23,2017-05-23,2016,Rockies/Central Tornadoes and Severe Weather,NA
196,Ohio Valley/ South Tornadoes,ind severe-storm-ind,2011-04-19,2011-04-20,1.2,#9d76b0,2011-04-19,2011-04-20,2011-04-19,2017-04-19,2011,Ohio Valley/South Tornadoes,NA
197,Ohio Valley Tornadoes,ind severe-storm-ind,2013-11-17,2013-11-17,1.2,#9d76b0,2013-11-17,2013-11-17,2013-11-17,2017-11-17,2013,Ohio Valley Tornadoes,NA
198,Midwest Tornadoes,ind severe-storm-ind,2012-04-13,2012-04-14,1.2,#9d76b0,2012-04-13,2012-04-14,2012-04-13,2017-04-13,2012,Midwest Tornadoes,NA
199,Colorado Hail Storm,ind severe-storm-ind,2009-07-20,2009-07-20,1.2,#9d76b0,2009-07-20,2009-07-20,2009-07-20,2017-07-20,2009,Colorado Hail Storm,NA
200,Central and Northeast Severe Weather,ind severe-storm-ind,2015-06-21,2015-06-25,1.2,#9d76b0,2015-06-21,2015-06-25,2015-06-23,2017-06-23,2015,Central and Northeast Severe Weather,NA
201,"Severe Storms, Flash Floods, Hail, Tornadoes",ind severe-storm-ind,1981-05-05,1981-05-10,1.1,#9d76b0,1981-05-05,1981-05-10,1981-05-07,2017-05-07,1981,"Severe Storms, Flash Floods, Hail, Tornadoes",NA
202,Severe Storms and Hail,ind severe-storm-ind,1984-06-13,1984-06-17,1.1,#9d76b0,1984-06-13,1984-06-17,1984-06-15,2017-06-15,1984,Severe Storms and Hail,NA
203,Severe Storms,ind severe-storm-ind,1989-05-01,1989-05-06,1.1,#9d76b0,1989-05-01,1989-05-06,1989-05-03,2017-05-03,1989,Severe Storms,NA
204,Midwest/ Northeast Severe Storms and Flooding,ind severe-storm-ind,2010-07-20,2010-07-23,1.1,#9d76b0,2010-07-20,2010-07-23,2010-07-21,2017-07-21,2010,Midwest/Northeast Severe Storms and Flooding,NA
205,Texas Tornadoes,ind severe-storm-ind,2012-04-02,2012-04-03,1.1,#9d76b0,2012-04-02,2012-04-03,2012-04-02,2017-04-02,2012,Texas Tornadoes,NA
206,Southern Tornado Outbreak and Western Storms,ind severe-storm-ind,2017-01-20,2017-01-22,1.1,#9d76b0,2017-01-20,2017-01-22,2017-01-21,2017-01-21,2017,Southern Tornado Outbreak and Western Storms,NA
207,Southeast and Eastern Tornadoes,ind severe-storm-ind,2016-02-22,2016-02-24,1.1,#9d76b0,2016-02-22,2016-02-24,2016-02-23,2017-02-23,2016,Southeast and Eastern Tornadoes,NA
208,Midwest Severe Weather,ind severe-storm-ind,2013-08-06,2013-08-07,1.1,#9d76b0,2013-08-06,2013-08-07,2013-08-06,2017-08-06,2013,Midwest Severe Weather,NA
209,Michigan and Northeast Flooding,ind flooding-ind,2014-08-11,2014-08-13,1.1,#699d8f,2014-08-11,2014-08-13,2014-08-12,2017-08-12,2014,Michigan and Northeast Flooding,NA
210,Illinois Flooding and Severe Weather,ind flooding-ind,2013-04-16,2013-04-19,1.1,#699d8f,2013-04-16,2013-04-19,2013-04-17,2017-04-17,2013,Illinois Flooding and Severe Weather,NA
