idx,name,class,start,end,cost,col2,date,date2,mid,monday,year,display_name,label
85,Hurricane Isaac,ind tropical-cyclone-ind,2012-08-26,2012-08-31,3,#397dc2,2012-08-26,2012-08-31,2012-08-28,2017-08-28,2012,Hurricane Isaac,1
86,Hurricane Elena,ind tropical-cyclone-ind,1985-08-30,1985-09-03,3,#397dc2,1985-08-30,1985-09-03,1985-09-01,2017-09-01,1985,Hurricane Elena,1
87,East/ South Severe Weather and Flooding,ind severe-storm-ind,2007-04-13,2007-04-17,3,#9d76b0,2007-04-13,2007-04-17,2007-04-15,2017-04-15,2007,East/South Severe Weather and Flooding,NA
88,Severe Storms and Tornadoes,ind severe-storm-ind,2002-04-27,2002-04-28,2.9,#9d76b0,2002-04-27,2002-04-28,2002-04-27,2017-04-27,2002,Severe Storms and Tornadoes,NA
89,Tropical Storm Lee,ind tropical-cyclone-ind,2011-09-01,2011-09-05,2.8,#397dc2,2011-09-01,2011-09-05,2011-09-03,2017-09-03,2011,Tropical Storm Lee,1
90,Southern Plains Drought,ind drought-ind,1996-03-01,1996-08-31,2.8,#efba2b,1996-03-01,1996-08-31,1996-05-31,2017-05-31,1996,Southern Plains Drought,NA
91,Rockies/ Southwest Severe Weather,ind severe-storm-ind,2012-06-06,2012-06-12,2.8,#9d76b0,2012-06-06,2012-06-12,2012-06-09,2017-06-09,2012,Rockies/Southwest Severe Weather,NA
92,Houston Flooding,ind flooding-ind,2016-04-17,2016-04-18,2.8,#699d8f,2016-04-17,2016-04-18,2016-04-17,2017-04-17,2016,Houston Flooding,NA
93,Florida Freeze,ind freeze-ind,1985-01-20,1985-01-22,2.8,#61c6e2,1985-01-20,1985-01-22,1985-01-21,2017-01-21,1985,Florida Freeze,NA
94,Severe Storms/ Hail,ind severe-storm-ind,2003-04-04,2003-04-07,2.7,#9d76b0,2003-04-04,2003-04-07,2003-04-05,2017-04-05,2003,Severe Storms/Hail,NA
95,Hurricane Bob,ind tropical-cyclone-ind,1991-08-18,1991-08-20,2.7,#397dc2,1991-08-18,1991-08-20,1991-08-19,2017-08-19,1991,Hurricane Bob,1
96,Texas and Oklahoma Flooding and Severe Weather,ind flooding-ind,2015-05-23,2015-05-26,2.6,#699d8f,2015-05-23,2015-05-26,2015-05-24,2017-05-24,2015,Texas and Oklahoma Flooding and Severe Weather,NA
97,East/ South Flooding and Severe Weather,ind flooding-ind,2010-04-30,2010-05-02,2.6,#699d8f,2010-04-30,2010-05-02,2010-05-01,2017-05-01,2010,East/South Flooding and Severe Weather,NA
98,Western/ Southeast Wildfires,ind wildfire-ind,2016-06-01,2016-12-31,2.5,#9b0e11,2016-06-01,2016-12-31,2016-09-15,2017-09-15,2016,Western/Southeast Wildfires,NA
99,Spring Freeze,ind freeze-ind,2007-04-04,2007-04-10,2.5,#61c6e2,2007-04-04,2007-04-10,2007-04-07,2017-04-07,2007,Spring Freeze,NA
100,Southern Plains/ Midwest/ Northeast Severe Weather,ind severe-storm-ind,2012-05-25,2012-05-30,2.5,#9d76b0,2012-05-25,2012-05-30,2012-05-27,2017-05-27,2012,Southern Plains/Midwest/Northeast Severe Weather,NA
101,South/ Southeast Tornadoes,ind severe-storm-ind,2016-04-26,2016-05-02,2.5,#9d76b0,2016-04-26,2016-05-02,2016-04-29,2017-04-29,2016,South/Southeast Tornadoes,NA
102,Minnesota Severe Storms/ Hail,ind severe-storm-ind,1998-05-15,1998-05-15,2.5,#9d76b0,1998-05-15,1998-05-15,1998-05-15,2017-05-15,1998,Minnesota Severe Storms/Hail,NA
103,Minnesota Hail Storm and Upper Midwest Severe Weather,ind severe-storm-ind,2017-06-09,2017-06-16,2.5,#9d76b0,2017-06-09,2017-06-16,2017-06-12,2017-06-12,2017,Minnesota Hail Storm and Upper Midwest Severe Weather,NA
104,Midwest/ Plains/ East Tornadoes,ind severe-storm-ind,2013-05-18,2013-05-22,2.5,#9d76b0,2013-05-18,2013-05-22,2013-05-20,2017-05-20,2013,Midwest/Plains/East Tornadoes,NA
105,Texas and Louisiana Flooding,ind flooding-ind,2016-03-08,2016-03-12,2.4,#699d8f,2016-03-08,2016-03-12,2016-03-10,2017-03-10,2016,Texas and Louisiana Flooding,NA
106,Southeast/ Midwest Tornadoes,ind severe-storm-ind,2011-04-08,2011-04-11,2.4,#9d76b0,2011-04-08,2011-04-11,2011-04-09,2017-04-09,2011,Southeast/Midwest Tornadoes,NA
107,California Wildfires,ind wildfire-ind,1993-09-01,1993-11-30,2.4,#9b0e11,1993-09-01,1993-11-30,1993-10-16,2017-10-16,1993,California Wildfires,NA
108,Midwest/ Southeast/ Northeast Winter Storm,ind winter-storm-ind,2014-01-05,2014-01-08,2.3,#61c6e2,2014-01-05,2014-01-08,2014-01-06,2017-01-06,2014,Midwest/Southeast/Northeast Winter Storm,NA
109,Midwest/ Southeast Tornadoes,ind severe-storm-ind,2011-04-14,2011-04-16,2.3,#9d76b0,2011-04-14,2011-04-16,2011-04-15,2017-04-15,2011,Midwest/Southeast Tornadoes,NA
110,Southern Severe Storms and Flooding,ind flooding-ind,1980-04-10,1980-04-17,2.2,#699d8f,1980-04-10,1980-04-17,1980-04-13,2017-04-13,1980,Southern Severe Storms and Flooding,NA
111,Southeast Drought/ Heat Wave,ind drought-ind,1993-06-01,1993-08-31,2.2,#efba2b,1993-06-01,1993-08-31,1993-07-16,2017-07-16,1993,Southeast Drought/Heat Wave,NA
112,Missouri River flooding,ind flooding-ind,2011-05-01,2011-06-30,2.2,#699d8f,2011-05-01,2011-06-30,2011-05-31,2017-05-31,2011,Missouri River flooding,NA
113,Colorado Hail Storm and Central Severe Weather,ind severe-storm-ind,2017-05-08,2017-05-11,2.2,#9d76b0,2017-05-08,2017-05-11,2017-05-09,2017-05-09,2017,Colorado Hail Storm and Central Severe Weather,NA
114,Texas Tornadoes and Midwest Flooding,ind severe-storm-ind,2015-12-26,2015-12-29,2.1,#9d76b0,2015-12-26,2015-12-29,2015-12-27,2017-12-27,2015,Texas Tornadoes and Midwest Flooding,NA
115,Southeast Severe Weather,ind severe-storm-ind,2013-03-18,2013-03-18,2.1,#9d76b0,2013-03-18,2013-03-18,2013-03-18,2017-03-18,2013,Southeast Severe Weather,NA
116,South/ Southeast Severe Weather,ind severe-storm-ind,2017-03-26,2017-03-28,2.1,#9d76b0,2017-03-26,2017-03-28,2017-03-27,2017-03-27,2017,South/Southeast Severe Weather,NA
117,South Carolina and East Coast Flooding,ind flooding-ind,2015-10-01,2015-10-05,2.1,#699d8f,2015-10-01,2015-10-05,2015-10-03,2017-10-03,2015,South Carolina and East Coast Flooding,NA
118,Northeast Ice Storm,ind winter-storm-ind,1998-01-05,1998-01-09,2.1,#61c6e2,1998-01-05,1998-01-09,1998-01-07,2017-01-07,1998,Northeast Ice Storm,NA
119,Northeast Flooding,ind flooding-ind,2010-03-01,2010-03-31,2.1,#699d8f,2010-03-01,2010-03-31,2010-03-16,2017-03-16,2010,Northeast Flooding,NA
120,North Texas Hail Storm,ind severe-storm-ind,2016-03-23,2016-03-24,2.1,#9d76b0,2016-03-23,2016-03-24,2016-03-23,2017-03-23,2016,North Texas Hail Storm,NA
121,Midwest Tornado Outbreak,ind severe-storm-ind,2017-03-06,2017-03-08,2.1,#9d76b0,2017-03-06,2017-03-08,2017-03-07,2017-03-07,2017,Midwest Tornado Outbreak,NA
122,Hurricane Gloria,ind tropical-cyclone-ind,1985-09-26,1985-09-28,2,#397dc2,1985-09-26,1985-09-28,1985-09-27,2017-09-27,1985,Hurricane Gloria,1
123,"Texas, New Mexico, Arizona Wildfires",ind wildfire-ind,2011-06-01,2011-11-30,2,#9b0e11,2011-06-01,2011-11-30,2011-08-31,2017-08-31,2011,"Texas, New Mexico, Arizona Wildfires",NA
124,Southeast/ Ohio Valley Severe Weather,ind severe-storm-ind,2009-02-10,2009-02-11,2,#9d76b0,2009-02-10,2009-02-11,2009-02-10,2017-02-10,2009,Southeast/Ohio Valley Severe Weather,NA
125,Rockies/ Central Plains Severe Weather,ind severe-storm-ind,2014-06-03,2014-06-05,2,#9d76b0,2014-06-03,2014-06-05,2014-06-04,2017-06-04,2014,Rockies/Central Plains Severe Weather,NA
126,Midwest/ Southeast Tornadoes,ind severe-storm-ind,2006-04-06,2006-04-08,2,#9d76b0,2006-04-06,2006-04-08,2006-04-07,2017-04-07,2006,Midwest/Southeast Tornadoes,NA
127,Groundhog Day Blizzard,ind winter-storm-ind,2011-02-01,2011-02-03,2,#61c6e2,2011-02-01,2011-02-03,2011-02-02,2017-02-02,2011,Groundhog Day Blizzard,NA
