"county","sample","state","name","exceedances"
"Butler",23,"ia","Bristow Muni Water Supply",1
"Cerro Gordo",26,"ia","Long Beach Mobile Park",2
"Cerro Gordo",84,"ia","Long Beach Mobile Park",2
"Cerro Gordo",32,"ia","Bell Harbor",1
"Chickasaw",20,"ia","Homeland Energy Solution Llc",1
"Dallas",20,"ia","Tyson Fresh Meats Inc (Perry Plant)",1
"Hancock",27.9,"ia","Michael Foods - Britt",1
"Humboldt",43,"ia","Livermore Water Supply",2
"Humboldt",59,"ia","Livermore Water Supply",2
"Iowa",16.5,"ia","Ladora Water Supply",2
"Iowa",17,"ia","Ladora Water Supply",2
"Jackson",50.6,"ia","Preston Muni Water Supply",1
"Johnson",16,"ia","Cottage Reserve Corporation",1
"Johnson",18,"ia","Woodland Heights Homeowners Assoc.",2
"Johnson",60,"ia","Woodland Heights Homeowners Assoc.",2
"Jones",38.2,"ia","Wyoming Water System",1
"Kossuth",176,"ia","Woodlyn Hills",1
"Linn",18,"ia","Central Iowa Power Cooperative",1
"Linn",20,"ia","Us Nameplate Company Inc",1
"Muscatine",22,"ia","Monsanto Company",1
"Plymouth",25,"ia","Brunsville Municipal Water Supply",1
"Pottawattamie",19,"ia","Green Hills Aea",1
"Scott",20,"ia","Revelle 1St & 2Nd Subdivision",1
"Scott",16,"ia","Rolling Green Estates Hoa Inc",1
"Story",17,"ia","Roland Water Supply",1
"Story",38,"ia","Story City Water Dept",1
"Barton",170.4,"ks","Barton Hills Addition",1
"Brown",22,"ks","Hiawatha, City Of",1
"Brown",16.6,"ks","Morrill, City Of",1
"Dickinson",17.4,"ks","M And M Mobile Home Court 2",1
"Douglas",16,"ks","Douglas Co Rwd 5",1
"Ellis",17,"ks","Schoenchen, City Of",1
"Ellis",20,"ks","Country View Mobile Home Park",1
"Ellsworth",24.8,"ks","Holyrood, City Of",1
"Ellsworth",18.3,"ks","Ellsworth Co Rwd 1",1
"Ford",19.9,"ks","Ford, City Of",1
"Geary",38,"ks","Geary Co Water District 2",1
"Jackson",25,"ks","Soldier, City Of",1
"Kiowa",19,"ks","Haviland, City Of",1
"Norton",15.6,"ks","Norton Co Rwd 1",1
"Osborne",30,"ks","Downs, City Of",1
"Phillips",20.6,"ks","Speed, City Of",1
"Reno",20.7,"ks","South Hutchinson, City Of",2
"Reno",44.9,"ks","South Hutchinson, City Of",2
"Reno",15.6,"ks","Reno Co Rwd 3",1
"Riley",23,"ks","Ogden, City Of",1
"Saline",17,"ks","Sundowner West Mobile Home Park",2
"Saline",647.2,"ks","Sundowner West Mobile Home Park",2
"Sedgwick",19,"ks","Sedgwick Co Rwd 3",1
"Sedgwick",19,"ks","Valley Center, City Of",1
"Wallace",37.5,"ks","Wallace, City Of",1
"Gove",18,"ks","Wheatland High School",1
"Lincoln",16,"ky","Stanford Water Works",1
"De Soto Parish",17,"la","Highway 513 Water Supply",2
"De Soto Parish",20,"la","Highway 513 Water Supply",2
"Grant Parish",48,"la","Central Grant Water System",1
"Lafayette Parish",19,"la","Cajun Country Mhp Water System",1
"Lincoln Parish",43,"la","Grambling State Univ West",1
"Livingston Parish",31,"la","Diversion Water - Chinquapin",1
"Washington Parish",24,"la","Utilities Inc - North Folsom Hills",2
"Washington Parish",30,"la","Utilities Inc - North Folsom Hills",2
"Ascension Parish",24,"la","Lions Copolymer Geismar",2
"Ascension Parish",43,"la","Lions Copolymer Geismar",2
"Ascension Parish",17,"la","Air Liquide Geismar Utility Services",7
"Ascension Parish",31,"la","Air Liquide Geismar Utility Services",7
"East Baton Rouge Parish",19,"la","Formosa Plastics Corporation",2
"East Baton Rouge Parish",20,"la","Formosa Plastics Corporation",2
"Lafayette Parish",18,"la","Schlumberger Drilling & Measurements Ws",1
"Rapides Parish",26,"la","Lsu At Alexandria",1
"St. Tammany Parish",42,"la","State Police Troop L",1
"Washington Parish",18,"la","Lil Angels Daycare",1
"Kennebec",337,"me","Msad 49 Albion Elem School",1
"York",16,"me","Msad 60 Noble Middle School",1
"Hancock",21.6,"me","Dedham Elementary School",2
"Hancock",42.5,"me","Dedham Elementary School",2
"Penobscot",77,"me","Msad 63 Holden School",2
"Penobscot",120,"me","Msad 63 Holden School",2
"Waldo",27.6,"me","Rsu 03 Walker Memorial School",1
"Washington",23,"me","Aos 96 Fort Obrien School",3
"Washington",140,"me","Aos 96 Fort Obrien School",3
"Penobscot",38,"me","Msad 22 Newburgh Elementary School",1
"Somerset",32,"me","Palmyra Community Center",1
"York",51,"me","Msad 57 Shapleigh Mem School",3
"York",80,"me","Msad 57 Shapleigh Mem School",3
"Lincoln",19,"me","Rsu 12 Somerville Elementary School",2
"Lincoln",47,"me","Rsu 12 Somerville Elementary School",2
"Knox",50,"me","Rsu 13 Gilford Butler School",2
"Knox",100,"me","Rsu 13 Gilford Butler School",2
"Lincoln",30,"me","Aos 98 Southport Central School",2
"Lincoln",43.8,"me","Aos 98 Southport Central School",2
"York",40,"me","Charter Oak Mobile Home Village",1
"Sagadahoc",18,"me","Happy Trails Mhp",4
"Sagadahoc",35,"me","Happy Trails Mhp",4
"York",21,"me","Msad 57 Lyman Elem School",2
"York",65,"me","Msad 57 Lyman Elem School",2
"Washington",29,"me","Msu 102 Jonesboro Elem School",2
"Washington",30,"me","Msu 102 Jonesboro Elem School",2
"York",17,"me","Msad 57 Line Elementary School",1
"Androscoggin",20.3,"me","Auburn Water District",1
"Penobscot",22.5,"me","Bangor Water District",3
"Penobscot",36,"me","Bangor Water District",3
"Cumberland",23,"me","Dingley Spring Estates",1
"Penobscot",20,"me","Sunny Gables- Glenburn Housing",1
"York",16,"me","Kennebunk,  Kennebunkport & Wells Wd",1
"Aroostook",20,"me","Loring Development Authority",4
"Aroostook",109,"me","Loring Development Authority",4
"Penobscot",16,"me","Towne Center-Ridgewood Apartments",1
"Aroostook",22,"me","St Francis Water District",1
"Washington",19.7,"me","Us Cg Jonesport - Station",2
"Washington",79,"me","Us Cg Jonesport - Station",2
"Hancock",23,"me","Blue Hill Terrace",3
"Hancock",46,"me","Blue Hill Terrace",3
"Cumberland",17,"me","Casco Inn Residential Care",1
"Cumberland",20,"me","Standish Baptist Church",2
"Cumberland",26,"me","Standish Baptist Church",2
"Washington",18,"me","Princeton Water District",1
"Cumberland",25.5,"me","New Gloucester Water District",1
"Knox",18,"me","Ledgewood Professional Building",3
"Knox",22,"me","Ledgewood Professional Building",3
"York",100,"me","Childrens Challenge Childcare",1
"Aroostook",41,"me","Scovil Building-North Street",1
"Lincoln",18,"me","Juniper Hill School",2
"Lincoln",19,"me","Juniper Hill School",2
"Kennebec",17,"me","First United Pentecostal Church-Augusta",2
"Kennebec",90,"me","First United Pentecostal Church-Augusta",2
"Cumberland",27.1,"me","Little Tykes Ii Child Care",1
"Hancock",28,"me","Msu 92 Beech Hill School",1
"Aroostook",20,"me","Msad 70 Hodgdon High School",1
"Franklin",18,"me","Carrabassett Valley Academy",2
"Franklin",33,"me","Carrabassett Valley Academy",2
"Somerset",16.6,"me","Sappi Fine Paper N A",4
"Somerset",59.6,"me","Sappi Fine Paper N A",4
"Lincoln",17,"me","Coastal Christian School",2
"Lincoln",30,"me","Coastal Christian School",2
"Kennebec",35,"me","Tex Tech Industries",1
"Aroostook",38,"me","Hodgdon Homestead",2
"Aroostook",60,"me","Hodgdon Homestead",2
"Aroostook",20,"me","Us Border Patrol Station-Hodgdon",2
"Aroostook",23,"me","Us Border Patrol Station-Hodgdon",2
"Penobscot",17,"me","Danforths Downhome Supermarket",8
"Penobscot",37,"me","Danforths Downhome Supermarket",8
"Oxford",20,"me","Bearhaven Crossing",1
"Penobscot",100,"me","Maple Ridge Mobile Home Park",1
"York",28,"me","Blueberry Ridge Mobile Home Village",1
"York",81,"me","Msad 57 Waterboro Elem School",3
"York",635,"me","Msad 57 Waterboro Elem School",3
"York",17,"me","P W Plummer Shopping Center",1
"Baltimore",25,"md","Glen Meadows Retirement Community",1
"Carroll",16,"md","Ashleys Trailer Park",2
"Carroll",25,"md","Ashleys Trailer Park",2
"Carroll",24,"md","Todd Village Mobile Home Park",1
"Cecil",24,"md","Whispering Pines Mobile Home Park",1
"Kent",20,"md","Town Of Betterton",1
"Washington",18,"md","Conococheague Apartments",1
"Anne Arundel",25,"md","Indian Creek Lower/Middle School",1
"Anne Arundel",24,"md","Millersville Elementary",1
"Anne Arundel",26,"md","Baldwin Memorial U.M. Church / Day Care",1
"Anne Arundel",29,"md","Tender Years Child Care",1
"Anne Arundel",126,"md","Long Point Mall",1
"Baltimore",210,"md","Manor Shopping Center",1
"Baltimore",339,"md","Camp Fretterd Military Reservation",1
"Baltimore",16,"md","Hillendale Country Club",1
"Baltimore",17,"md","Monkton Country Day Care & Preschool",1
"Baltimore",18,"md","Free-State Montessori School",1
"Baltimore",81,"md","Edrich Lumber Company",1
"Baltimore",16,"md","Grauls Superthrift Market",1
"Baltimore",19,"md","Pine Grove Early Learning Center",1
"Calvert",38,"md","Dunkirk Village Shopping Center",1
"Carroll",16,"md","Performance Foodservice- Carroll County",1
"Carroll",50,"md","Shiloh Stepping Stones",1
"Cecil",18,"md","Greenhurst Daycare And Early Learning",1
"Frederick",16,"md","Hyatt Park #1",1
"Frederick",17,"md","Long Fence Company",2
"Frederick",23,"md","Long Fence Company",2
"Frederick",25,"md","Hyatt Center",1
"Frederick",97,"md","The Jefferson School",1
"Frederick",40,"md","Green Valley Plaza",1
"Harford",36,"md","Harford Center Inc.",1
"Harford",51,"md","Jacob'S Well Assisted Living Home",2
"Harford",54,"md","Jacob'S Well Assisted Living Home",2
"Harford",77,"md","Highland Community Asc./Child. Cntr. N.",2
"Harford",110,"md","Highland Community Asc./Child. Cntr. N.",2
"Harford",110,"md","Youths Benefit Intermediate",2
"Harford",110,"md","Youths Benefit Intermediate",2
"Howard",16,"md","West Friendship Shopping Center",1
"Howard",16,"md","Glenelg Um Church & Nursery School",1
"Howard",34,"md","Mt. Zion Um Church And Preschool",1
"Montgomery",19,"md","Laytonsville Elementary School",3
"Montgomery",60,"md","Laytonsville Elementary School",3
"Somerset",16,"md","Deal Island School",1
"Talbot",15.7,"md","Calhoon M.E.B.A. School",1
"Washington",93,"md","Fountain Rock Elementary",1
"Wicomico",34.2,"md","Perdue Farms Inc. - Main Office",1
"Worcester",24,"md","Assateague Island National Seashore - Hq",1
"Worcester",40,"md","Isle Of Wight County Office Building",1
"Worcester",19,"md","Most Blessed Sacrament School",1
"Worcester",17,"md","Braemar Condos Distribution",2
"Worcester",25,"md","Braemar Condos Distribution",2
"Hampshire",63,"ma","Quabbin Administration Building",1
"Hampden",490,"ma","Meadowbrook Acres Mobile Home Park",1
"Berkshire",130,"ma","Jiminy Peak Resort",1
"Worcester",15.5,"ma","Village School",1
"Hampden",33,"ma","Wales Elementary School",1
"Berkshire",450,"ma","Waubeeka Springs",1
"Middlesex",16,"ma","Ayer Dpw  Water Division",1
"Worcester",16.5,"ma","Heritage Professional Bldg.",6
"Worcester",31.5,"ma","Heritage Professional Bldg.",6
"Middlesex",26,"ma","Holiday Inn Boxborough",1
"Middlesex",20,"ma","Cisco Systems Inc. Site 1",1
"Middlesex",138,"ma","159 Swanson Rd    Setra Systems Inc",1
"Middlesex",16,"ma","Boxboro Executive Center",2
"Middlesex",25,"ma","Boxboro Executive Center",2
"Middlesex",20,"ma","1300 Mass Ave",1
"Worcester",23,"ma","L And P Converters, Inc.",3
"Worcester",371,"ma","L And P Converters, Inc.",3
"Worcester",19,"ma","Growing Footprints Education Center",3
"Worcester",190,"ma","Growing Footprints Education Center",3
"Middlesex",18,"ma","Deerfield Estates",2
"Middlesex",30,"ma","Deerfield Estates",2
"Worcester",28,"ma","Hubbardston House Apartments",2
"Worcester",53,"ma","Hubbardston House Apartments",2
"Middlesex",18,"ma","Marlborough Dpw  Water Div.",1
"Worcester",16,"ma","Sterling Water Department",4
"Worcester",34,"ma","Sterling Water Department",4
"Middlesex",33,"ma","Juniper Hill Water Company",3
"Middlesex",151,"ma","Juniper Hill Water Company",3
"Middlesex",65,"ma","Cpi Radant Technologies, Inc",4
"Middlesex",134.6,"ma","Cpi Radant Technologies, Inc",4
"Worcester",18.5,"ma","Sturbridge Retirement Coop. Corp.",1
"Worcester",19,"ma","Pilot Travel Center",1
"Worcester",19,"ma","First Congregational Church Of Sutton",2
"Worcester",21,"ma","First Congregational Church Of Sutton",2
"Worcester",27,"ma","Riverside Community Care",1
"Worcester",22.45,"ma","Madden Estates",3
"Worcester",131,"ma","Madden Estates",3
"Middlesex",43,"ma","Assurance Technology Corp.",1
"Suffolk",26.5,"ma","Chelsea Water Dept. (Mwra)",1
"Essex",17,"ma","Ipswich Dpu  Water Dept",1
"Middlesex",19.7,"ma","Malden Water Division (Mwra)",1
"Essex",19,"ma","Manchester Water Department",1
"Middlesex",23.6,"ma","Medford Water Dept. (Mwra)",1
"Middlesex",16,"ma","Melrose Water Dept. (Mwra)",1
"Middlesex",25,"ma","Nardone Property (45 Power Rd)",1
"Middlesex",45.7,"ma","Weston Water Dept.",1
"Suffolk",17.4,"ma","Winthrop Water Division, (Mwra)",1
"Plymouth",21,"ma","Carver High School And Middle School",1
"Bristol",20,"ma","New Bedford Dept. Of Pub. Infrastructure",2
"Bristol",31,"ma","New Bedford Dept. Of Pub. Infrastructure",2
"Plymouth",93,"ma","The Home For Little Wanderers",1
"Plymouth",17,"ma","Litecontrol Corporation",2
"Plymouth",47,"ma","Litecontrol Corporation",2
"Plymouth",26,"ma","Dennett Elementary School",1
"Plymouth",16,"ma","Sysco Boston, Llc",1
"Barnstable",20,"ma","Southpoint Condominium Trust",1
"Norfolk",35,"ma","Copperwood Ii Condominiums",1
"Norfolk",19,"ma","Copperwood I Condominiums",2
"Norfolk",72,"ma","Copperwood I Condominiums",2
"Bristol",42,"ma","Westport Legion Llc",1
"Bristol",21,"ma","M.A.M.O. Llc",2
"Bristol",25,"ma","M.A.M.O. Llc",2
"NA",23,"mi","Pine Creek Reservation",1
"Oscoda",17,"mi","Ausable Valley Community",2
"Oscoda",67.6,"mi","Ausable Valley Community",2
"Lenawee",26,"mi","Boysville",1
"Antrim",310,"mi","Central Lake, Village Of",1
"Genesee",25,"mi","Chateaux Du Lac Condominiums",4
"Genesee",79,"mi","Chateaux Du Lac Condominiums",4
"Osceola",18.8,"mi","Eagle Village",1
"Charlevoix",21.5,"mi","Hemingway Pointe Club Owners Association",1
"Oakland",20,"mi","Knorrwood Knolls Subdivision",1
"Emmet",34,"mi","L'Arbre Croche Club",1
"Van Buren",2900,"mi","Lawrence",1
"Van Buren",4700,"mi","Mattawan",1
"Luce",17,"mi","Newberry Correctional Facility",2
"Luce",20,"mi","Newberry Correctional Facility",2
"Emmet",16.3,"mi","Spring Lake Club Condominiums",3
"Emmet",42,"mi","Spring Lake Club Condominiums",3
"Cheboygan",117,"mi","Uaw Family Education Center",1
"Calhoun",16,"mi","Twin Pines Mobile Home Park",1
"Isabella",17,"mi","Mapleview Estates",1
"Livingston",40,"mi","Alan'S Park - Fowlerville",1
"Sanilac",1000,"mi","Pine Terrace Estates",1
"Calhoun",155,"mi","Doris Klaussen Devel Center",1
"Cheboygan",17,"mi","Cheboygan Area Schools Admin. Bldg.",1
"Clare",20,"mi","Farwell Alternative Education",1
"Eaton",22.8,"mi","Dimondale Elementary School",1
"Ingham",74.9,"mi","Vlahakis Management Company",1
"Ingham",21.8,"mi","Colt'S And Filly'S Childcare",1
"Ionia",17,"mi","Eight Cap Ionia Co. Outreach",1
"Ionia",17,"mi","Faith Community Christian Sch.",1
"Kent",20,"mi","Magna Donnelly",1
"Leelanau",32.5,"mi","Bluebird Restuarant & Bar",1
"Leelanau",19.6,"mi","Leelanau Fruit Company",1
"Monroe",16.1,"mi","Big Daddy'S Truck Stop",1
"Montmorency",21,"mi","Lewiston School",1
"Oakland",29.6,"mi","Andersonville Elem/Ccs",1
"Ogemaw",17,"mi","Ogemaw Heights High School",1
"Van Buren",19,"mi","Coca Cola Refreshments",2
"Van Buren",86.4,"mi","Coca Cola Refreshments",2
"NA",294,"mn","Northern Lights Casino",1
"NA",39,"mn","Bug School - Gymnasium",2
"NA",42,"mn","Bug School - Gymnasium",2
"Morrison",74,"mn","Buckman",1
"Nobles",22,"mn","Reading",1
"Olmsted",32,"mn","Olmsted County Waste-To-Energy",4
"Olmsted",58,"mn","Olmsted County Waste-To-Energy",4
"Polk",32,"mn","Crossroads Apartments",1
"Rice",16,"mn","Nerstrand",1
"Sherburne",57,"mn","Windsor Oaks Development",1
"Aitkin",30,"mn","Mille Lacs Energy Co-Op",1
"Blue Earth",16,"mn","Norsoft",2
"Blue Earth",23,"mn","Norsoft",2
"Carver",23,"mn","East Union Elementary School",1
"Dakota",28,"mn","Stinar Corporation",1
"Hennepin",24,"mn","Vinland National Center",1
"Hennepin",17,"mn","Corcoran Pet Care Shopping Center",1
"McLeod",29,"mn","Crown Court",1
"Meeker",30,"mn","Lakeview Ranch - Darwin",1
"Mille Lacs",44,"mn","Princeton Evangelical Lutheran School",1
"Washington",30,"mn","Salem Evangelical Lutheran Church",1
"Amite",15.7,"ms","Wilk-Amite W/A #2-Northwest",1
"Calhoun",184.5,"ms","Mt Comfort W/A",1
"Hancock",18.2,"ms","Hancock County Water & Sewer",1
"Hinds",28.4,"ms","City Of Jackson",1
"Humphreys",32.5,"ms","Humphreys Co. W/A #2-Brooklyn",1
"Jackson",26.6,"ms","Helena Utility District",2
"Jackson",2413,"ms","Helena Utility District",2
"Montgomery",17.7,"ms","North District 1 Water Assn.",1
"Montgomery",22,"ms","Hays Creek W/A-Legion Lake Rd",1
"Panola",47,"ms","Enon-Locke-Curtis Water Assn",1
"Panola",16,"ms","Hide-A-Way Hills Water Company",3
"Panola",30.7,"ms","Hide-A-Way Hills Water Company",3
"Panola",17.4,"ms","Plum Point Water System",1
"Perry",16.4,"ms","Leaf River Cellulose, Llc",2
"Perry",26.8,"ms","Leaf River Cellulose, Llc",2
"Pike",16.2,"ms","Friendship Community W/A",1
"Pike",33.8,"ms","St Mary Of The Pines",1
"Quitman",19,"ms","Darling Water Association",1
"Quitman",20.7,"ms","City Of Marks",1
"Tate",20.8,"ms","Senatobia Lakes Estates, Inc",1
"Tate",16.9,"ms","Delta Rain Inc-The Highlands",4
"Tate",20,"ms","Delta Rain Inc-The Highlands",4
"Tate",16,"ms","Hidden Valley Light Assn",1
"Winston",17.9,"ms","Nanih-Waiya Water Association",1
"Jackson",700,"mo","Independence",1
"Lafayette",16.2,"mo","Waverly",3
"Lafayette",71.5,"mo","Waverly",3
"Callaway",22.7,"mo","Riverview Nursing Center",1
"Cole",17.3,"mo","Missouri State Capitol",1
"Miller",18.2,"mo","Spinnaker Point",4
"Miller",47.5,"mo","Spinnaker Point",4
"Camden",22.2,"mo","Hawks Nest Condo Assn",2
"Camden",28.7,"mo","Hawks Nest Condo Assn",2
"Camden",37.6,"mo","Pelican Bay Condominiums",1
"Camden",67.5,"mo","Wood Crest Condominiums",1
"Camden",16.7,"mo","Lakepointe Condominiums",1
"Ste. Genevieve",16.2,"mo","St Mary",1
"Cape Girardeau",18.6,"mo","Royal Lake Estates",2
"Cape Girardeau",31.8,"mo","Royal Lake Estates",2
"Washington",25.4,"mo","Little Learners Academy",1
"Camden",44.3,"mo","Red Oak Subdivision",2
"Camden",44.6,"mo","Red Oak Subdivision",2
"Greene",22.2,"mo","Eastbourough Subd",1
"Barry",20.9,"mo","Berean Christian Academy",1
"Douglas",18.1,"mo","Ava Head Start",5
"Douglas",308.1,"mo","Ava Head Start",5
"Barry",15.7,"mo","True Care Assisted Living Llc",2
"Barry",23.6,"mo","True Care Assisted Living Llc",2
"Franklin",35.1,"mo","Riverview Mhp",1
"Franklin",19.7,"mo","Franklin Co Special School Dist",1
"Franklin",15.6,"mo","Coleman Elem School",2
"Franklin",16.2,"mo","Coleman Elem School",2
"NA",24,"mt","Pretty Eagle School",1
"NA",28,"mt","Northern Cheyenne Tribal School",1
"Musselshell",17,"mt","Roundup Water Department",1
"Big Horn",97,"mt","Absaloka Mine",1
"Wheatland",28,"mt","Two Dot Water Users Company",1
"Missoula",22,"mt","Clinton School",1
"Ravalli",31,"mt","Farmers State Bank  Victor",1
"Yellowstone",97,"mt","Golden Eagle Water Users Assn",1
"Silver Bow",405,"mt","Rocker Water And Sewer District",1
"Big Horn",494,"mt","Spring Creek Coal  Domestic",1
"Gallatin",99,"mt","Antler Ridge Homeowners Association",1
"Missoula",31,"mt","University Of Montana - Missoula",1
"Flathead",110,"mt","Ashley Hill Subdivision",1
"Park",16,"mt","Crazy Mountain Ranch Employee Housing",2
"Park",18,"mt","Crazy Mountain Ranch Employee Housing",2
"Lewis and Clark",21,"mt","Drumlummon Exploration Support Facility",1
"Park",60,"mt","Avalon Subdivision",1
"Yellowstone",23,"mt","Pacific Steel & Recycling",1
"Buffalo",19,"ne","Gibbon, City Of",1
"Burt",15.9,"ne","Tekamah, City Of",1
"Butler",45.43,"ne","Dwight, Village Of",1
"Clay",35,"ne","Glenvil, Village Of",1
"Dakota",17,"ne","Dakota City, City Of",2
"Dakota",19,"ne","Dakota City, City Of",2
"Lancaster",54.5,"ne","Hickman, City Of",1
"Seward",35.6,"ne","Goehner, Village Of",1
"Douglas",23.5,"ne","Mount Michael High School",1
"Hamilton",53.6,"ne","The Iams Company - Aurora Plant",1
"Saunders",26.7,"ne","Army National Guard Cats - Mead",1
"Saunders",65.18,"ne","Lake Allure Subdivision - Ashland",2
"Saunders",79.32,"ne","Lake Allure Subdivision - Ashland",2
"Seward",20.1,"ne","Bayer Crop-Science Wheat Breed'G Station",1
"Jefferson",15.9,"ne","Jefferson Co Dist 300 - Tri-County",1
"Washoe",100,"nv","Mount Rose Bowl Homeowners Association",1
"Clark",42,"nv","Kapex Water System City Of Nlv",2
"Clark",71,"nv","Kapex Water System City Of Nlv",2
"Elko",17,"nv","Elko Rv Park At Ryndon",1
"Hillsborough",22,"nh","Amherst Professional Bldg",1
"Rockingham",16,"nh","Dearborn Ridge",1
"Carroll",35,"nh","Top Notch Condos",2
"Carroll",73,"nh","Top Notch Condos",2
"Carroll",29,"nh","Bartlett Place",1
"Carroll",16,"nh","Stillings Grant",1
"Hillsborough",36,"nh","288 Route 101",1
"Hillsborough",16,"nh","Family Medical Center",2
"Hillsborough",17,"nh","Family Medical Center",2
"Merrimack",33,"nh","Bow Memorial School",1
"Grafton",28,"nh","Waterville Estate Vlg Dist/W",2
"Grafton",63,"nh","Waterville Estate Vlg Dist/W",2
"Grafton",39,"nh","Beebe River",1
"Grafton",17,"nh","Red Sleigh Condos",1
"Grafton",27,"nh","Canaan Water Dept",1
"Carroll",126,"nh","Northern Human Svcs",1
"Carroll",24,"nh","Conway Town Hall",1
"Rockingham",44,"nh","Cotton Farms Mhp",1
"Rockingham",21,"nh","George B White Bldg",2
"Rockingham",77,"nh","George B White Bldg",2
"Strafford",23,"nh","Unh/Durham Water Sys",1
"Merrimack",25,"nh","Colby Brook Estates",1
"Rockingham",17,"nh","Icey Hill Cooperative",1
"Grafton",18,"nh","Franconia Village Water",1
"Grafton",282,"nh","Mittersill Water Dept",1
"Carroll",137,"nh","Freedom Village Condos",3
"Carroll",1660,"nh","Freedom Village Condos",3
"Hillsborough",30,"nh","Mt Laurel Estates",1
"Grafton",32,"nh","Mountain Lakes Water Dept",1
"Merrimack",19,"nh","Hill Water Works",1
"Merrimack",17,"nh","Mclane Northeast",1
"Sullivan",19,"nh","Sarah Porter Sch",1
"Sullivan",24,"nh","Goshen Lempster Coop Sch",1
"Hillsborough",26,"nh","Gingerbread House",1
"Rockingham",127,"nh","28 Buttrick Rd Property",1
"Carroll",45,"nh","Far Echo Harbor",1
"Hillsborough",19,"nh","Strong Beginnings",1
"Rockingham",24,"nh","Sanborn Regional Middle Sch",2
"Rockingham",30,"nh","Sanborn Regional Middle Sch",2
"Carroll",33,"nh","Deer Cove Water",1
"Carroll",28,"nh","Hannaford Ossipee 8159",2
"Carroll",42,"nh","Hannaford Ossipee 8159",2
"Hillsborough",19,"nh","Paradise Estates Condominium",1
"Hillsborough",26,"nh","Hannaford Pelham 8015",1
"Cheshire",20,"nh","Rindge Memorial Sch",1
"Strafford",17,"nh","Inn At Secretariat Estates",1
"Rockingham",17,"nh","North Salem Village",1
"Rockingham",18,"nh","Main Street Friends",1
"Rockingham",20,"nh","Barnard Sch",1
"Merrimack",36,"nh","Tilton Northfield Water Dist",1
"Carroll",30,"nh","Sanbornville Water Dept",2
"Carroll",39,"nh","Sanbornville Water Dept",2
"Grafton",69,"nh","Waterville Valley Water Dist",1
"Hillsborough",16,"nh","Kuncanowet Hills Mobile Home",1
"Atlantic",600,"nj","Ballys Park Place Casino",1
"Atlantic",21.4,"nj","Buena Regional High Scho",1
"Atlantic",15.5,"nj","Collings Lake Elementary School",1
"Atlantic",19.5,"nj","One Love Daycare And Preschool",2
"Atlantic",35.2,"nj","One Love Daycare And Preschool",2
"Atlantic",22,"nj","Tilton Terrace Mh",1
"Atlantic",26.6,"nj","Homestead Residential Health Care",2
"Atlantic",37.08,"nj","Homestead Residential Health Care",2
"Bergen",20,"nj","High Mountain Road Schoo",1
"Bergen",21.6,"nj","Ridgewood Water",1
"Burlington",27.1,"nj","Fountain Of Life Center",2
"Burlington",37.6,"nj","Fountain Of Life Center",2
"Burlington",79,"nj","Ironstone Shopping Ctr",1
"Burlington",43,"nj","Hilltop Mobile Village",1
"Burlington",23.6,"nj","Newcomb Middle School",1
"Burlington",19.5,"nj","Newcomb Middle School",1
"Burlington",21,"nj","Deborah Heart & Lung Center",1
"Burlington",16.7,"nj","United State Post Office - Vincentown",1
"Burlington",190,"nj","New Lisbon Development Ctr",1
"Burlington",44.36,"nj","Wagner Boot Camp",1
"Camden",36,"nj","Pine Valley Golf Club",1
"Camden",17.2,"nj","Atco Post Office",1
"Cape May",27.8,"nj","Delsea Woods Community Llc",1
"Cape May",17.2,"nj","Upper Twp Middle School",2
"Cape May",20.6,"nj","Upper Twp Middle School",2
"Cumberland",31.3,"nj","Cumberland Cnty Technical Ed",1
"Cumberland",17.9,"nj","Bayshore Mobile Home Park",3
"Cumberland",19,"nj","Bayshore Mobile Home Park",3
"Essex",21,"nj","Mountain Ridge Country Club",2
"Essex",110,"nj","Mountain Ridge Country Club",2
"Gloucester",15.5,"nj","Ferro Corporation",4
"Gloucester",62.6,"nj","Ferro Corporation",4
"Gloucester",25.7,"nj","Tlc Daycare Center Inc",1
"Hunterdon",113,"nj","Delaware Valley Regional",1
"Hunterdon",28.7,"nj","Conley Elementary School",5
"Hunterdon",160,"nj","Conley Elementary School",5
"Hunterdon",18.5,"nj","Albert Elias Residential Group",2
"Hunterdon",29.4,"nj","Albert Elias Residential Group",2
"Hunterdon",36.7,"nj","East Amwell School",1
"Hunterdon",105,"nj","Route 12 Business Park",1
"Hunterdon",29.4,"nj","Phillips Barber Health Center",4
"Hunterdon",232,"nj","Phillips Barber Health Center",4
"Hunterdon",18.6,"nj","Stockton Water Department",1
"Hunterdon",18,"nj","Am Best Co",1
"Mercer",19.8,"nj","Faridy Veisz Fraytak Pc",1
"Mercer",18.1,"nj","Princeton Technology Ctr",2
"Mercer",110,"nj","Princeton Technology Ctr",2
"Mercer",23,"nj","Pennington Partnership",1
"Mercer",124,"nj","Lawrenceville School",1
"Mercer",81,"nj","Princeton Friends School",1
"Middlesex",41,"nj","Middlesex Presbyterian Church",1
"Monmouth",30,"nj","Coltstown Group/Shopping Ctr",1
"Monmouth",26.3,"nj","Bais Leah",1
"Morris",18,"nj","Msm/Shamrock Tic Well # 3",2
"Morris",60,"nj","Msm/Shamrock Tic Well # 3",2
"Morris",15.9,"nj","6 Mill Ridge Lane",1
"Morris",43,"nj","Black River Middle School",4
