"ROW" "Region" "Years" "mdr" "region"
"88" "WEST" "2004-2007" 10.7521851560832 "nevada"
"89" "WEST" "2004-2007" 10.7521851560832 "arizona"
"90" "WEST" "2004-2007" 10.7521851560832 "idaho"
"91" "WEST" "2004-2007" 10.7521851560832 "wyoming"
"92" "WEST" "2004-2007" 10.7521851560832 "washington"
"93" "WEST" "2004-2007" 10.7521851560832 "montana"
"94" "WEST NORTH CENTRAL" "2004-2007" 15.1294898885925 "iowa"
"95" "WEST NORTH CENTRAL" "2004-2007" 15.1294898885925 "kansas"
"96" "WEST NORTH CENTRAL" "2004-2007" 15.1294898885925 "minnesota"
"97" "WEST NORTH CENTRAL" "2004-2007" 15.1294898885925 "nebraska"
"98" "WEST NORTH CENTRAL" "2004-2007" 15.1294898885925 "north dakota"
"99" "WEST NORTH CENTRAL" "2004-2007" 15.1294898885925 "south dakota"
"100" "WEST NORTH CENTRAL" "2004-2007" 15.1294898885925 "missouri"
"101" "EAST NORTH CENTRAL" "2008-2012" 11.3758351433141 "illinois"
"102" "EAST NORTH CENTRAL" "2008-2012" 11.3758351433141 "indiana"
"103" "EAST NORTH CENTRAL" "2008-2012" 11.3758351433141 "michigan"
"104" "EAST NORTH CENTRAL" "2008-2012" 11.3758351433141 "ohio"
"105" "EAST NORTH CENTRAL" "2008-2012" 11.3758351433141 "wisconsin"
"106" "NORTHEAST" "2008-2012" 12.3297512877902 "maine"
"107" "NORTHEAST" "2008-2012" 12.3297512877902 "massachusetts"
"108" "NORTHEAST" "2008-2012" 12.3297512877902 "new jersey"
"109" "NORTHEAST" "2008-2012" 12.3297512877902 "new york"
"110" "NORTHEAST" "2008-2012" 12.3297512877902 "pennsylvania"
"111" "NORTHEAST" "2008-2012" 12.3297512877902 "rhode island"
"112" "NORTHEAST" "2008-2012" 12.3297512877902 "vermont"
"113" "NORTHEAST" "2008-2012" 12.3297512877902 "new hampshire"
"114" "NORTHEAST" "2008-2012" 12.3297512877902 "connecticut"
"115" "SOUTH ATLANTIC" "2008-2012" 9.84846152869348 "delaware"
"116" "SOUTH ATLANTIC" "2008-2012" 9.84846152869348 "florida"
"117" "SOUTH ATLANTIC" "2008-2012" 9.84846152869348 "georgia"
"118" "SOUTH ATLANTIC" "2008-2012" 9.84846152869348 "west virginia"
"119" "SOUTH ATLANTIC" "2008-2012" 9.84846152869348 "north carolina"
"120" "SOUTH ATLANTIC" "2008-2012" 9.84846152869348 "south carolina"
"121" "SOUTH ATLANTIC" "2008-2012" 9.84846152869348 "virginia"
"122" "SOUTH ATLANTIC" "2008-2012" 9.84846152869348 "maryland"
"123" "SOUTH ATLANTIC" "2008-2012" 9.84846152869348 "washington, dc"
"124" "SOUTH CENTRAL" "2008-2012" 9.04477290214991 "alabama"
"125" "SOUTH CENTRAL" "2008-2012" 9.04477290214991 "arkansas"
"126" "SOUTH CENTRAL" "2008-2012" 9.04477290214991 "kentucky"
"127" "SOUTH CENTRAL" "2008-2012" 9.04477290214991 "louisana"
"128" "SOUTH CENTRAL" "2008-2012" 9.04477290214991 "mississippi"
"129" "SOUTH CENTRAL" "2008-2012" 9.04477290214991 "oklahoma"
"130" "SOUTH CENTRAL" "2008-2012" 9.04477290214991 "tennessee"
"131" "SOUTH CENTRAL" "2008-2012" 9.04477290214991 "texas"
"132" "WEST" "2008-2012" 8.04862600331028 "california"
"133" "WEST" "2008-2012" 8.04862600331028 "colorado"
"134" "WEST" "2008-2012" 8.04862600331028 "hawaii"
"135" "WEST" "2008-2012" 8.04862600331028 "new mexico"
"136" "WEST" "2008-2012" 8.04862600331028 "oregon"
"137" "WEST" "2008-2012" 8.04862600331028 "utah"
"138" "WEST" "2008-2012" 8.04862600331028 "nevada"
"139" "WEST" "2008-2012" 8.04862600331028 "arizona"
"140" "WEST" "2008-2012" 8.04862600331028 "idaho"
"141" "WEST" "2008-2012" 8.04862600331028 "wyoming"
"142" "WEST" "2008-2012" 8.04862600331028 "washington"
"143" "WEST" "2008-2012" 8.04862600331028 "montana"
"144" "WEST NORTH CENTRAL" "2008-2012" 18.9717923905722 "iowa"
"145" "WEST NORTH CENTRAL" "2008-2012" 18.9717923905722 "kansas"
"146" "WEST NORTH CENTRAL" "2008-2012" 18.9717923905722 "minnesota"
"147" "WEST NORTH CENTRAL" "2008-2012" 18.9717923905722 "nebraska"
"148" "WEST NORTH CENTRAL" "2008-2012" 18.9717923905722 "north dakota"
"149" "WEST NORTH CENTRAL" "2008-2012" 18.9717923905722 "south dakota"
"150" "WEST NORTH CENTRAL" "2008-2012" 18.9717923905722 "missouri"
