frame.number,frame.time,eth.src,eth.dst,ip.src,frame.len,ip.dst,ip.proto
"227","Feb  9, 1970 02:07:47.728856000 EST","52:54:00:12:34:56","ff:ff:ff:ff:ff:ff","10.0.2.15","92","10.0.2.255","17"
"228","Feb  9, 1970 02:07:48.318775000 EST","52:54:00:12:34:56","ff:ff:ff:ff:ff:ff","10.0.2.15","92","10.0.2.255","17"
"229","Feb  9, 1970 02:07:48.911422000 EST","52:54:00:12:34:56","ff:ff:ff:ff:ff:ff","10.0.2.15","92","10.0.2.255","17"
"230","Feb  9, 1970 02:07:49.738077000 EST","52:54:00:12:34:56","33:33:00:01:00:03",,"84",,
"231","Feb  9, 1970 02:07:49.741624000 EST","52:54:00:12:34:56","01:00:5e:00:00:fc","10.0.2.15","64","224.0.0.252","17"
"232","Feb  9, 1970 02:07:49.832146000 EST","52:54:00:12:34:56","33:33:00:01:00:03",,"84",,
"233","Feb  9, 1970 02:07:49.832811000 EST","52:54:00:12:34:56","01:00:5e:00:00:fc","10.0.2.15","64","224.0.0.252","17"
"234","Feb  9, 1970 02:07:49.990776000 EST","52:54:00:12:34:56","ff:ff:ff:ff:ff:ff","10.0.2.15","92","10.0.2.255","17"
"235","Feb  9, 1970 02:07:50.580797000 EST","52:54:00:12:34:56","ff:ff:ff:ff:ff:ff","10.0.2.15","92","10.0.2.255","17"
"236","Feb  9, 1970 02:07:51.173471000 EST","52:54:00:12:34:56","ff:ff:ff:ff:ff:ff","10.0.2.15","92","10.0.2.255","17"
"237","Feb  9, 1970 02:07:51.788593000 EST","52:54:00:12:34:56","52:55:0a:00:02:02","10.0.2.15","329","184.29.104.186","6"
"238","Feb  9, 1970 02:07:51.788638000 EST","52:55:0a:00:02:02","52:54:00:12:34:56","184.29.104.186","54","10.0.2.15","6"
"239","Feb  9, 1970 02:07:51.806761000 EST","52:55:0a:00:02:02","52:54:00:12:34:56","184.29.104.186","279","10.0.2.15","6"
"240","Feb  9, 1970 02:07:52.062143000 EST","52:54:00:12:34:56","52:55:0a:00:02:02","10.0.2.15","54","184.29.104.186","6"
"241","Feb  9, 1970 02:07:52.096699000 EST","52:54:00:12:34:56","52:55:0a:00:02:03","10.0.2.15","79","10.0.2.3","17"
"242","Feb  9, 1970 02:07:52.124423000 EST","52:55:0a:00:02:02","52:54:00:12:34:56","10.0.2.3","160","10.0.2.15","17"
"243","Feb  9, 1970 02:07:52.222346000 EST","52:54:00:12:34:56","52:55:0a:00:02:02","10.0.2.15","66","93.184.215.200","6"
