"county","population","educational_attainment","poverty_rate","pct_adults_not_working","housing_vacancy_rate","median_income_ratio","employment_change_pct","business_change_pct","distress_score","population_in_distress_count","pct_pop_in_distress","distress_rank"
"Lipscomb County, TX",3420,18,11,37,14,116,9.1,5.6,19.9,0,0,2506
"Randall County, TX",124860,8,11,34,6,116,26,4.8,1.3,0,0,3088
"Day County, SD",5660,12,23,41,11,75,-0.7,-4.4,71,1240,22,907
"Pickens County, AL",19630,21,26,59,11,69,-3.5,-8,96.1,19100,97,123
"Will County, IL",682110,10,8,37,6,133,11.4,3.9,1.8,47440,7,3073
"Emmet County, IA",10070,12,12,37,10,92,4.1,-4.5,34.7,0,0,2042
"Wayne County, IA",6390,11,13,45,15,80,-3.2,-11,72.4,1330,21,864
"Aroostook County, ME",70650,14,17,47,8,77,-3.4,-1.2,62.4,12050,17,1176
"Towner County, ND",2290,8,12,37,10,102,-19.2,-2.3,32,0,0,2128
"Bottineau County, ND",6580,11,10,41,4,95,3.6,7.8,9.8,70,1,2822
"Polk County, NC",20350,12,13,52,9,102,-0.7,-0.8,43.8,960,5,1758
"Martin County, MN",20520,12,11,37,10,86,-3.1,-1.8,39,40,0,1909
"Humboldt County, NV",17000,17,10,40,11,120,15.8,2.8,15.5,1440,9,2645
"Randolph County, GA",7410,27,33,59,4,54,10.6,-2.2,76.7,6790,92,729
"Treutlen County, GA",6780,23,22,54,14,81,-21.6,-10.9,96.6,6530,96,108
"Bullock County, AL",10690,35,21,56,8,80,-6.7,-6.7,90.2,9630,90,308
"Oldham County, TX",2070,18,17,50,17,98,8.6,8.6,47.5,0,0,1643
"Lincoln County, NC",79040,17,16,43,10,104,3.7,-0.6,38,8950,11,1938
"Pierce County, ND",4400,17,12,41,4,78,-2,-0.6,40.8,0,0,1853
"Fulton County, NY",54870,14,16,46,10,78,-0.4,-2.5,63,30440,56,1157
"Greeley County, NE",2500,8,12,42,16,83,-11.3,-2.9,57.7,0,0,1323
"Tippecanoe County, IN",178140,9,22,42,8,91,9.9,0.5,27.6,16190,9,2263
"Lawrence County, IN",45970,15,14,46,10,91,8.2,-5,46.4,3990,9,1678
"Washington County, MO",25110,27,24,56,10,72,11.4,23.5,68.1,11930,48,997
"Madison County, IA",15630,6,9,36,7,108,-6.9,-2.7,18.8,0,0,2539
"Mahnomen County, MN",5490,16,27,45,9,66,11.1,4.1,53.1,3460,63,1470
"Scott County, IL",5260,11,14,42,12,85,0.9,18.3,35.5,350,7,2017
"Lincoln County, MS",34820,17,25,52,10,90,3.5,3,59.5,50,0,1267
"Montgomery County, MS",10630,26,27,56,14,79,-5.9,-7.3,97.6,10160,96,76
"Essex County, VT",6230,17,17,48,5,65,5.1,0.9,49.2,0,0,1590
"Manitowoc County, WI",80810,10,10,38,7,92,3,-4.9,24.8,0,0,2351
"Collingsworth County, TX",3050,21,22,40,18,81,-6.9,-6.3,87.3,2730,89,398
"Stark County, OH",375090,10,15,43,9,95,4.8,-1.7,32.8,41460,11,2102
"Wadena County, MN",13750,11,17,47,5,64,-28.5,-4.4,68.4,0,0,988
"Cedar County, MO",13910,17,23,55,13,63,4.8,-0.4,80.8,12060,87,603
"Butler County, IA",14970,9,9,38,7,98,4,0.9,8.8,0,0,2853
"Franklin County, KS",25830,8,14,37,10,97,-4.3,1.6,27.5,140,1,2269
"Newton County, MS",21670,17,22,49,10,97,5.6,1,49.1,4320,20,1594
"Warren County, IL",17780,12,16,44,10,76,3.8,-3.3,53.2,240,1,1465
"Crawford County, MI",13940,14,15,56,6,87,2,-7.4,59.9,0,0,1255
"White County, IN",24490,11,11,41,11,105,6,-7.1,33.5,0,0,2081
"Fayette County, IL",22040,16,16,48,13,78,1.5,-3.2,73.2,2500,11,838
"Kandiyohi County, MN",42320,11,13,35,5,86,-4.2,0.1,29,0,0,2220
"Delaware County, IN",117440,12,23,48,11,78,5.6,-4.9,70.3,30710,26,929
"Webster County, MO",36460,14,17,47,10,96,0.8,-2.6,54.2,3550,10,1434
"Fillmore County, NE",5770,7,8,34,13,99,1.2,-0.9,20.9,0,0,2475
"Woodson County, KS",3250,11,19,42,16,71,-17.5,-13,84.9,580,18,473
"Greene County, IA",9230,9,13,40,13,90,4.2,-2.2,39.3,0,0,1900
"Fulton County, IN",20640,15,17,45,8,87,1.9,2.2,41.3,0,0,1837
"Rice County, KS",10050,11,17,39,14,89,1.2,-4.3,55.1,0,0,1407
"Anderson County, KS",7960,12,15,40,9,78,-6.2,-3.2,56,650,8,1379
"Hand County, SD",3340,11,10,40,15,93,-1.3,-6,50,0,0,1566
"Jefferson County, WI",84200,8,11,35,5,103,-0.4,-2.7,15.7,0,0,2639
"Falls Church city, VA",13070,3,5,27,9,186,1.3,7.7,3,0,0,3035
"Schuyler County, NY",18460,11,13,45,7,84,19.9,6.3,18.6,0,0,2547
"Codington County, SD",27600,9,11,30,4,95,6.4,1.8,5.1,0,0,2969
"Lyman County, SD",3830,11,19,39,13,89,-9,4,48.8,1440,38,1602
"Jones County, MS",68270,22,23,50,13,96,-1.8,-3.3,81,36650,54,597
"Granville County, NC",57960,18,16,49,10,106,-4.7,0,54.2,5250,9,1433
"Petersburg city, VA",32440,24,28,54,22,52,13,-3.6,91.2,18970,59,276
"Medina County, OH",174090,7,8,36,5,136,3.2,0.4,3.4,0,0,3022
"Rawlins County, KS",2550,7,12,39,11,84,3.1,0,28,0,0,2252
"Teton County, ID",10210,12,11,34,12,111,8.2,-0.7,18.1,0,0,2562
"Reno County, KS",64220,12,13,42,10,86,-1.3,-3.3,48.2,26840,42,1621
"Wabaunsee County, KS",7030,4,6,38,8,106,-8.8,7.2,10,0,0,2817
"Pulaski County, IL",5970,19,19,55,22,59,-44.4,-1,93.5,3770,63,203
"Sherman County, OR",1790,8,19,47,10,79,31.9,-10.3,51.3,640,36,1526
"Echols County, GA",4020,27,30,43,12,66,27.8,27.8,61,90,2,1222
"Bedford County, PA",49330,14,14,45,7,84,3.1,-4.7,47,3910,8,1658
"Buena Vista County, IA",20460,21,12,34,6,91,7.4,-3,28.6,0,0,2232
"Hamilton County, IA",15360,9,12,39,11,90,-18.3,-4.7,49.8,0,0,1572
"Perry County, OH",36000,16,19,48,9,86,-1.2,0,58.7,6660,19,1293
"Cumberland County, IL",10950,12,15,43,8,77,9.9,-0.6,35.6,470,4,2015
"Clark County, IL",16240,10,13,41,11,88,11.1,-0.3,26.9,30,0,2286
"Page County, IA",15740,11,13,43,10,85,0.3,2,38.6,60,0,1923
"Ontonagon County, MI",6450,10,16,62,5,72,-27.5,-18.3,77.6,3830,60,701
"Latimer County, OK",10920,16,17,54,12,86,-0.8,-2.9,74.4,8060,74,797
"Andrews County, TX",16130,23,11,36,9,117,21.8,25.9,11,0,0,2786
"Hancock County, TN",6710,24,28,58,14,60,-30.9,-23,99.6,6020,90,13
"Luna County, NM",24950,31,30,55,13,63,-9.2,-7,98.7,24950,100,42
"Franklin County, NE",3160,8,15,41,15,87,-14.4,-8.6,65.4,1150,36,1084
"McDuffie County, GA",21560,26,23,51,9,77,-3.8,-2.5,85.8,21490,100,447
"Wade Hampton Census Area, AK",7780,23,33,59,13,57,9.1,26.8,78,3570,46,688
"San Benito County, CA",56890,22,12,41,4,110,1.8,1.6,22.4,60,0,2429
"Marion County, IN",919340,15,21,40,13,87,4,-2.2,59.6,318350,35,1264
"Crisp County, GA",23400,22,32,52,14,74,2.5,-1.7,88.4,23370,100,365
"Norfolk city, VA",244750,13,21,49,9,68,-7.3,-7.8,85.1,60800,25,469
"Fluvanna County, VA",25950,15,7,43,4,100,-6.8,-3.5,35.5,1760,7,2020
"Childress County, TX",7070,10,20,50,19,93,-3.7,-6.4,78.6,6980,99,670
"Linn County, OR",118270,10,20,49,7,89,3.3,-0.3,42.5,0,0,1799
"Alamance County, NC",153710,17,19,43,9,91,5,-1.4,48.3,34170,22,1619
"De Baca County, NM",1970,18,22,56,25,84,-10.5,-8.2,95.6,1820,93,140
"Pickaway County, OH",56280,15,13,46,8,114,7.1,-1.4,28.3,790,1,2243
"Stevens County, MN",9750,9,17,35,10,84,6.9,-1.2,31.6,0,0,2140
"Red Lake County, MN",4070,10,12,34,11,78,9.6,-3,31,0,0,2157
"Chickasaw County, IA",12330,11,10,38,5,87,5.9,7.7,8.5,0,0,2864
"Lincoln Parish, LA",47240,15,31,47,11,76,1.6,1.9,69.2,5110,11,965
"Chickasaw County, MS",17380,27,25,53,10,79,1.8,-3.7,85.5,14700,85,454
"Johnson County, MO",53880,9,17,46,7,105,-1.9,-11.2,47.9,330,1,1631
"Grant County, MN",5980,8,10,39,10,82,-19.7,0.9,35.1,0,0,2031
"Perry County, MS",12170,20,21,58,19,84,-9,-7.5,95.8,10220,84,134
"Leake County, MS",23370,25,27,53,11,84,-1.6,-4.3,88.9,17160,74,350
"Dickens County, TX",2340,23,16,58,28,73,-26.5,-2.3,94.2,1570,67,184
"Coryell County, TX",76280,12,13,62,17,95,0.5,-6.2,71.3,290,0,899
"Hale County, TX",35930,29,24,46,13,81,-15.6,-2.7,90.1,32880,92,310
"Terry County, TX",12680,31,13,49,17,75,3.3,-7.1,84,11390,90,503
"Cimarron County, OK",2390,16,21,40,33,99,13.2,9,39.6,0,0,1889
"Paulding County, OH",19290,10,14,44,9,93,6.9,-0.7,27.7,320,2,2262
"Cheyenne County, CO",2150,12,9,34,14,91,-12,-10.8,54.7,0,0,1417
"St. Clair County, IL",268420,10,18,44,12,89,-1.9,-2.4,58.3,59860,22,1307
"Norton County, KS",5630,14,9,41,11,88,1.5,-1.7,41.2,0,0,1841
"Washington County, ME",32400,13,19,51,12,78,1.7,-3,73,11240,35,845
"Schoolcraft County, MI",8350,12,20,61,9,73,-3.2,0.4,73.3,6860,82,836
"Erie County, OH",76420,10,13,42,8,99,6.3,-1.7,21.5,0,0,2456
"Mercer County, OH",40790,9,9,36,5,107,13.4,-0.7,4.2,0,0,2998
"Lancaster County, NE",293730,7,15,32,5,99,2.1,3.5,7.6,15230,5,2890
"Scotts Bluff County, NE",36840,13,14,37,9,89,-1.1,-3.4,43.4,820,2,1771
"Hillsborough County, NH",402780,9,9,34,6,108,-2.3,-0.6,11.6,2900,1,2766
"Beaverhead County, MT",9290,6,15,42,9,91,-1.2,-5,43.9,0,0,1757
"Fresno County, CA",948840,27,27,48,7,74,6.5,1.2,63.3,301340,32,1150
"Highlands County, FL",98260,18,19,63,12,76,0.4,-6,89,81820,83,346
"Park County, WY",28740,6,8,35,7,97,-3.8,-0.9,16.1,0,0,2624
"Real County, TX",3370,19,19,64,10,70,9.3,-4.9,79.6,1170,35,639
"Liberty County, GA",64490,10,18,52,14,88,8,-0.2,52.1,12840,20,1501
"Quitman County, GA",2410,25,29,64,15,61,-4.9,15.2,92.4,2280,95,240
"Bent County, CO",6000,22,18,71,13,66,-8.9,-14.9,97.8,4730,79,69
"Lynn County, TX",5810,24,18,42,17,79,-8.4,-9.6,89.4,4450,77,333
"Garza County, TX",6340,36,12,65,11,94,13.5,-0.8,56,100,2,1378
"Orange County, VA",34240,14,13,46,10,98,9.9,-3.5,36.5,2680,8,1987
"Doddridge County, WV",8280,18,15,59,15,97,-5.4,-5.4,83,4630,56,534
"Billings County, ND",860,9,10,30,15,116,36.2,36.2,6.4,0,0,2928
"North Slope Borough, AK",9620,13,10,28,13,104,24.7,16.5,9.6,0,0,2829
"Ellis County, KS",28880,7,17,31,6,87,2.7,2.1,15.3,0,0,2651
"Boone County, IN",59250,6,7,35,7,138,20.9,5.8,0.7,0,0,3106
"Marshall County, KS",10040,8,13,37,9,86,14.5,-1.6,17.7,0,0,2576
"Barron County, WI",45720,11,13,40,6,85,-0.9,-1.3,33.9,0,0,2068
"Benton County, MO",18960,15,20,59,11,69,-0.3,-2.6,82.8,4530,24,540
"Miller County, GA",6020,22,26,50,9,67,-5.1,1.5,80.7,6020,100,606
"Jasper County, MS",16690,22,22,52,10,82,11.9,-3.6,71.4,8640,52,895
"Randolph County, IN",25800,15,17,44,10,85,11.5,-1.2,44,5910,23,1752
"Franklin County, MO",101680,13,13,41,7,102,7.3,-1,19.5,21430,21,2520
"Wayne County, NE",9490,7,15,33,6,103,1.1,-0.4,13.4,0,0,2708
"Sitka City and Borough, AK",8960,8,8,35,9,97,-7.4,0.5,19,0,0,2533
"Logan County, NE",740,8,12,36,10,86,-7.2,4.5,27.9,0,0,2255
"Cumberland County, NJ",157430,23,18,50,9,70,-3.1,-2.4,81.2,91630,58,590
"Montgomery County, IN",38180,11,15,43,11,95,-0.2,-1.8,44.8,0,0,1726
"Morris County, TX",12810,17,18,54,14,75,16.6,0.4,65.9,12710,99,1069
"Gwinnett County, GA",842090,13,14,37,8,122,8.4,2,9.9,0,0,2818
"Haskell County, KS",4200,29,11,32,14,108,-6.2,-4,56.7,0,0,1355
"Garfield County, MT",1100,9,9,32,19,109,5.1,7.7,12.4,0,0,2741
"Hopkins County, TX",35480,19,21,45,9,86,3.1,1.1,54.6,20,0,1422
"Trigg County, KY",14280,17,16,52,10,105,-1.6,-7.4,68.8,0,0,977
"Coosa County, AL",11250,24,20,59,14,74,-1.7,-1.1,90,7910,70,315
"Winnebago County, WI",168410,8,13,38,6,99,0.5,-3.1,20,39490,23,2503
"Ramsey County, ND",11520,11,13,35,8,85,10.5,6.5,11.8,0,0,2761
"Custer County, ID",4280,10,20,51,14,83,-28.4,10.6,67.9,2340,55,1005
"Alfalfa County, OK",5700,14,14,54,16,103,8.6,-3,54.5,0,0,1425
"Benton County, MS",8570,27,22,54,18,74,9.2,-3.4,88.1,8390,98,373
"Butler County, PA",185030,7,9,39,5,112,8.2,2.7,2.6,0,0,3049
"Marathon County, WI",134890,9,11,35,6,102,3.4,-3.4,15.9,0,0,2631
"Bennett County, SD",3440,21,39,51,9,69,9.2,-4.5,78.9,1100,32,663
"Saratoga County, NY",222510,6,7,37,5,120,8,3.3,1.4,700,0,3085
"Osage County, KS",16170,9,12,42,10,96,-20.4,-1.9,43.6,4530,28,1765
"Frio County, TX",17850,32,22,54,11,68,58.6,26.6,67,0,0,1033
"Tate County, MS",28560,20,17,47,8,109,2,-4.5,52.4,12140,43,1491
"Menominee County, WI",4380,9,29,56,3,72,62.5,62.5,36.2,0,0,1996
"Piatt County, IL",16550,7,7,37,8,110,-17.4,-5.4,26.2,0,0,2309
"Box Butte County, NE",11310,9,20,36,12,94,1.1,-2.5,43.5,0,0,1768
"Greene County, MO",280660,10,19,41,8,85,0.6,0.7,38.9,53430,19,1912
"Lafayette Parish, LA",228080,14,16,36,7,114,11.4,5.1,11.3,30160,13,2776
"Coos County, NH",32200,13,13,45,7,64,-7,-6.1,67.9,13140,41,1006
"Garland County, AR",96800,13,22,51,11,96,5.5,-0.2,54.3,32280,33,1430
"Hardin County, TN",25970,21,22,57,13,76,10.7,-1.8,78.4,21670,83,677
"Platte County, WY",8730,8,15,44,11,71,-2.9,-2.2,56.9,0,0,1350
"Lake County, IL",703170,11,9,38,6,136,5.6,1.3,6,15900,2,2942
"Lenoir County, NC",59100,19,24,48,11,76,2.8,-5.3,81.9,25070,42,567
"Muscogee County, GA",198250,15,20,50,11,84,-3.2,-1.9,75.1,52850,27,779
"Lehigh County, PA",354540,13,13,41,6,105,8,0.3,15.1,53180,15,2656
"Washtenaw County, MI",351450,6,15,40,7,124,8.3,0.8,7.8,0,0,2884
"Delaware County, IA",17580,10,9,31,4,104,13.9,-0.4,3.6,0,0,3016
"Renville County, ND",2550,8,9,34,8,114,-4.7,6.9,9,0,0,2847
"DeKalb County, GA",707190,12,20,40,13,103,3,-0.1,41.6,151340,21,1829
"Story County, IA",91940,4,22,36,4,97,9.5,-1.2,14.5,0,0,2675
"Bartholomew County, IN",78630,10,13,38,7,112,12.9,-1.5,11.1,0,0,2781
"Henry County, AL",17270,21,15,52,13,99,-0.3,-2,68.5,8920,52,986
"Lawrence County, AR",17160,19,24,52,12,81,2.4,-7.4,86.3,12540,73,430
"Ascension Parish, LA",112310,11,13,36,6,156,17.4,6.2,3.3,0,0,3026
"Sussex County, VA",11920,31,23,72,14,57,-9.8,-1,97.3,4270,36,87
"Hansford County, TX",5540,26,19,37,13,88,31.6,0.7,46.7,0,0,1668
"Mayes County, OK",41080,15,21,48,11,91,11.2,1.5,46.3,14900,36,1680
"Blaine County, OK",9830,16,15,54,19,96,-2.8,-4,78.2,4340,44,684
"Flathead County, MT",92370,6,14,42,7,100,8.1,-1.4,13.5,20,0,2705
"Walworth County, SD",5500,12,11,42,12,85,8.2,-3.6,41,110,2,1845
"Harper County, KS",5910,11,16,41,16,80,13,9.5,33.8,0,0,2072
"Morrill County, NE",4920,13,14,38,14,86,2.7,3.5,37.3,0,0,1962
"Geary County, KS",36460,9,13,49,14,88,1.8,-3.2,53.5,20,0,1455
"Winchester city, VA",27030,17,16,41,10,69,11.4,0.1,45.5,0,0,1707
"Crawford County, KS",39280,10,22,41,12,72,3.8,-3,62.8,1690,4,1165
"Hitchcock County, NE",2880,7,15,42,12,69,-9.7,3.1,49.6,1310,45,1579
"Geauga County, OH",93820,9,8,38,5,144,-6.7,0.5,10.1,0,0,2812
"Otsego County, MI",24130,8,13,47,4,97,-0.3,-5.5,34.1,0,0,2062
"Iowa County, IA",16320,7,10,33,7,111,5.7,3,3.1,0,0,3032
"Archer County, TX",8850,13,11,41,13,111,31.3,7.1,14,150,2,2690
"Hoke County, NC",50030,16,22,54,13,94,4.3,-2.2,70.9,6750,14,911
"St. Charles Parish, LA",52620,13,13,39,8,128,5.5,-1,17.3,4320,8,2588
"Frontier County, NE",2540,6,13,38,14,93,-6.1,-4.1,46.1,0,0,1688
"Medina County, TX",46970,19,16,48,8,107,23.6,7.5,23.5,0,0,2393
"Johnson County, IA",136800,5,18,32,4,104,3.1,4.7,7.1,0,0,2906
"Pulaski County, IN",13130,15,14,46,10,88,2.3,-1.8,50,0,0,1567
"Ringgold County, IA",5080,12,17,46,8,84,2.7,0.7,41.9,1260,25,1817
"Macon County, TN",22580,26,21,48,10,77,0.4,-4.7,83.1,7560,34,530
"Rock County, MN",9590,10,14,37,7,80,6.9,2.7,16.4,0,0,2615
"Jefferson County, ID",26620,10,13,39,5,111,11.1,-0.7,8.3,1300,5,2868
"McKean County, PA",43020,11,17,50,5,81,8.7,-0.6,35.6,0,0,2014
"Henry County, OH",28070,10,13,40,7,108,6.5,1.4,9.5,0,0,2830
"Barnes County, ND",11100,10,7,36,8,97,-7.3,-1.6,24.8,0,0,2354
"Gray County, TX",22770,19,14,46,15,86,15.8,-3.1,57,0,0,1346
"Steele County, ND",1980,8,7,38,8,96,-1,-6.3,25.7,0,0,2324
"Lawrence County, SD",24480,6,15,38,6,88,-9.7,4.1,22.1,0,0,2437
"Lee County, SC",18710,25,26,60,14,69,-13.4,-11.7,99.4,16160,86,21
"Clay County, IA",16560,6,11,35,9,94,-0.9,-3.8,26.7,0,0,2294
"Elk County, KS",2730,11,16,48,18,74,-2.6,-5.3,79.6,1140,42,641
"Cottonwood County, MN",11680,11,16,40,9,78,-8,-2.2,57.3,100,1,1338
"Newaygo County, MI",48130,14,19,52,7,87,9.8,-3.8,53.4,10040,21,1458
"Rockwall County, TX",83240,8,6,35,5,165,10.9,13.5,0.6,0,0,3109
"Okmulgee County, OK",39610,14,20,52,15,84,2,-3,77.6,17330,44,701
"Wasco County, OR",25390,15,17,48,10,86,1.2,-2.6,61.1,2030,8,1217
"Pennington County, MN",14040,10,9,32,6,78,18.1,0,10.2,0,0,2810
"Vermilion Parish, LA",58780,24,17,45,11,105,5.3,2.1,44.5,10340,18,1736
"West Carroll Parish, LA",11520,28,27,54,13,71,-0.9,7.4,85.7,1820,16,448
"Monroe County, MI",150850,10,12,44,7,112,3.7,-3.4,24.6,0,0,2360
"Refugio County, TX",7300,20,17,48,16,85,27.4,7.9,51.4,680,9,1521
"Hood River County, OR",22620,18,16,36,7,112,9,2.5,15.4,1060,5,2646
"Horry County, SC",283280,12,19,46,16,94,6.4,-0.4,52,21160,8,1502
"Carteret County, NC",67850,11,15,48,10,101,-3.4,-5.2,55.6,11960,18,1391
"Allendale County, SC",10030,29,33,65,17,57,5.4,-4.6,96.5,9480,95,111
"Cherokee County, NC",27160,18,19,58,11,74,-5.5,-4.1,89.3,22050,81,335
"Benzie County, MI",17450,9,12,47,7,97,-2.9,3,24.9,1960,11,2349
"Cass County, MO",100340,8,10,38,6,128,3.8,-2.3,9.2,200,0,2839
"Sarpy County, NE",165960,5,7,30,4,134,11.5,6.8,0.3,0,0,3120
"Harrison County, MO",8800,16,16,44,15,82,0.4,-6.7,73.9,1210,14,816
"Dutchess County, NY",297390,10,9,41,7,124,-3.9,1,16.7,42610,14,2605
"Paulding County, GA",145570,11,13,37,8,124,7.8,7.3,6,0,0,2941
"Forsyth County, GA",189310,8,7,37,10,178,15.8,9,2.3,0,0,3058
"Lea County, NM",66880,29,16,42,13,123,25.7,8.3,32.1,0,0,2125
"Kent County, TX",860,20,10,37,11,89,30.8,30.8,18.8,0,0,2540
"Chautauqua County, KS",3570,12,16,48,23,76,-17.1,-22.5,88.6,2000,56,359
"Drew County, AR",18710,17,29,51,11,78,-2.9,-1,81.3,16150,86,586
"Oktibbeha County, MS",48640,13,33,51,13,82,3,1.3,70.5,2290,5,925
"Washita County, OK",11620,13,15,42,15,102,6.1,-0.8,39.5,2670,23,1894
"Saginaw County, MI",197730,12,18,49,10,89,5.7,-3,53.9,70300,36,1442
"Kings County, CA",151390,29,23,55,7,77,3.8,-2.4,77.5,41070,27,703
"Mitchell County, KS",6320,5,10,37,12,90,2.5,-6.1,33.4,0,0,2083
"Polk County, MN",31630,10,13,37,7,84,-0.4,0.8,26.4,250,1,2301
"Ramsey County, MN",521270,10,17,37,5,91,2.7,-0.3,22.1,13290,3,2435
"Chippewa County, WI",63050,9,11,39,5,98,5.5,2.7,6.6,100,0,2921
"Kalkaska County, MI",17200,14,17,52,5,82,6.6,3.8,37.3,0,0,1963
"Pike County, MS",40210,21,28,53,11,81,-2.5,-4.4,89.2,30360,76,338
"Preble County, OH",41890,13,13,42,8,99,3.7,-1.8,29,0,0,2221
"Valley County, NE",4270,7,13,35,13,82,6.1,0.6,27.1,0,0,2282
"Union County, FL",15260,25,19,67,14,88,3.5,-1.5,81.6,11290,74,577
"Saline County, NE",14320,17,13,38,10,89,-8.6,-0.7,47.7,0,0,1639
"Hunt County, TX",87260,17,20,48,12,85,-1.3,-1.4,72.9,30720,35,850
"Daggett County, UT",710,12,10,66,7,79,-41.3,0,57.8,0,0,1322
"Kingman County, KS",7820,11,13,46,17,96,-0.7,-3.2,55.2,0,0,1404
"Fisher County, TX",3880,18,14,43,19,82,-12,4.5,67.1,2420,62,1030
"Wyoming County, PA",28230,10,11,44,7,96,34.8,-0.2,12.7,20,0,2730
"Ida County, IA",7090,10,14,36,8,87,2.4,-0.4,26.1,0,0,2313
"Hill County, MT",16430,8,19,40,12,95,3.9,-1.8,38.7,2590,16,1919
"Hemphill County, TX",4030,19,13,36,9,111,35.1,7.5,11.4,0,0,2770
"Miami County, OH",103150,11,13,41,7,106,10.8,-0.6,13.3,0,0,2712
"St. Francois County, MO",65810,19,20,53,8,79,-1.1,-0.9,73.2,18100,28,838
"Sierra County, CA",3020,10,16,53,11,70,-36.7,-6.9,83.1,10,1,529
"Sargent County, ND",3860,10,7,34,12,102,30.7,-2.4,14.3,0,0,2681
"Clay County, NE",6430,12,10,37,9,97,-11.3,-2.1,37,1110,17,1973
"Gove County, KS",2790,6,7,37,11,93,10.4,2.3,7.9,0,0,2881
"Dawson County, TX",13590,30,19,56,14,76,9.7,-1.1,80,13250,98,628
"Santa Barbara County, CA",431560,21,17,42,5,103,2.3,0,33.7,200,0,2075
"Pocahontas County, WV",8710,15,17,51,14,84,-4,-4.1,81,3980,46,596
"Baca County, CO",3740,15,16,42,21,65,-5.9,1.1,73.1,1870,50,842
"Fairfield County, CT",934220,11,9,38,7,119,2.4,-0.2,10.7,52340,6,2794
"Chattahoochee County, GA",11850,7,9,76,22,98,169.5,44.8,25.2,0,0,2340
"LaGrange County, IN",37760,37,15,41,6,101,22.3,2.7,23.8,0,0,2383
"Warrick County, IN",60540,7,9,37,7,129,6.8,2.7,3.1,20,0,3033
"Clark County, IN",112210,13,12,39,11,105,9.7,0.5,19.1,0,0,2531
"Scott County, IA",168710,7,13,38,7,102,5.9,0.2,9.1,11210,7,2844
"Carroll County, KY",10870,26,32,50,10,92,14.5,-0.9,64.3,7280,67,1119
"Kenton County, KY",161920,11,14,38,10,127,-27.5,-3.3,41.1,38640,24,1843
"Baraga County, MI",8740,20,15,67,8,83,-5.3,-6.7,81.6,3490,40,576
"Sioux County, NE",1280,9,11,37,24,78,-31.6,-31.6,68.6,680,53,982
"Fayette County, WV",45710,20,21,58,15,84,-3.6,-4.8,92.4,23600,52,239
"Humphreys County, TN",18320,15,16,51,9,92,4.4,-0.3,47.8,0,0,1633
"Hood County, TX",52350,13,12,49,9,104,4,0.4,30.5,0,0,2173
"Crockett County, TN",14600,23,18,48,12,84,-13.4,-4.5,86.1,5680,39,436
"Coffee County, TN",53150,17,21,49,8,89,4.4,-0.8,55.9,0,0,1382
"Webster County, WV",9010,28,23,59,14,70,-16.3,-6.2,98.7,7510,83,41
"Henry County, TN",32280,17,20,53,11,87,-1.9,-2.4,77,23200,72,719
"Grady County, OK",53160,14,14,44,11,111,11.8,4.3,20.7,750,1,2481
"Washington County, OR",547450,9,12,37,5,129,7.7,1.6,4.1,0,0,3000
"Warren County, NC",20630,23,25,58,9,75,23.1,12,60.9,4280,21,1225
"Escambia County, AL",38040,21,26,60,16,72,6.5,-5.9,92.6,38040,100,232
"Scott County, AR",11020,24,19,49,18,89,-3.2,-4.3,87.7,8740,79,384
"Crittenden County, AR",50170,20,26,47,13,92,1.1,-5.5,80.5,32240,64,611
"McIntosh County, GA",14170,21,18,53,21,92,-3.7,-5.2,88.3,7810,55,367
"Sullivan County, IN",21230,14,18,54,11,93,32.1,-4.2,57.3,7370,35,1336
"Howard County, IA",9530,12,12,35,9,90,-0.3,-8.9,44,0,0,1751
"Louisa County, IA",11310,17,12,37,10,100,5.5,-1.4,29.7,0,0,2199
"Jackson County, IA",19660,10,11,39,6,89,2.3,-2.3,22.3,0,0,2431
"Boone County, KY",123030,8,9,33,6,155,23.8,5.8,0.8,0,0,3104
"Terrebonne Parish, LA",112170,24,18,44,8,111,5.2,3.4,36.1,32960,29,2000
"Martin County, KY",12750,27,34,75,12,65,-6.4,-8,99,8910,70,30
"Beauregard Parish, LA",36110,16,19,49,9,103,1.3,1.9,45.7,330,1,1700
"Lake County, CO",7310,7,12,30,8,78,6.3,4.6,12.8,0,0,2729
"Calhoun County, FL",14660,27,23,61,16,72,5.8,-7.7,94.3,8670,59,181
"Douglas County, CO",299790,3,4,30,4,173,18,7.9,0.1,0,0,3127
"White County, GA",27590,14,19,49,14,82,7.1,-2.2,66.7,0,0,1043
"Lincoln County, WY",18180,7,8,37,13,114,-8.5,3.3,20.5,0,0,2486
"Prince William County, VA",428770,10,7,31,4,152,13,6,0.9,0,0,3102
"Box Elder County, UT",50610,8,10,40,7,96,2.1,-4.8,22.3,20,0,2430
"Tooele County, UT",59970,9,9,37,7,105,6,1.9,5.7,1220,2,2949
"Harnett County, NC",121790,15,18,51,12,95,2.9,-2.8,64.1,38070,31,1125
"Nance County, NE",3670,12,11,38,13,88,21.3,4,18.6,0,0,2546
"Brown County, NE",3090,11,16,37,10,66,-2.1,-10.4,65.3,0,0,1086
"Marion County, SC",32410,19,30,55,13,66,6.6,-3.3,86.7,31810,98,418
"Grant County, ND",2360,12,14,38,17,78,1.6,-2.7,57.7,890,38,1325
"Stillwater County, MT",9210,8,7,41,11,125,19.1,2.4,6.1,0,0,2939
