"county","population","educational_attainment","poverty_rate","pct_adults_not_working","housing_vacancy_rate","median_income_ratio","employment_change_pct","business_change_pct","distress_score","population_in_distress_count","pct_pop_in_distress","distress_rank"
"Le Sueur County, MN",27720,10,9,33,4,99,9.2,0.1,4.8,0,0,2980
"Crawford County, MO",24680,22,23,50,12,75,8.5,-0.4,72.8,7420,30,852
"Panola County, MS",34510,22,25,53,14,93,-9,1.1,83.1,30950,90,531
"Carroll County, IA",20700,8,10,32,9,93,-5.9,-2.9,28.4,0,0,2239
"Grundy County, IA",12400,6,7,38,7,106,20.4,4.1,1.9,0,0,3071
"Stone County, MS",17940,15,19,52,17,114,-4.3,-7.4,79.8,15340,86,634
"Aurora County, SD",2730,12,8,34,10,93,-4.8,-3.2,36.3,0,0,1993
"Ralls County, MO",10220,12,10,40,9,100,-3.8,5.6,22.8,300,3,2415
"Stonewall County, TX",1410,20,19,47,24,81,13.6,-5.9,76.3,1320,94,742
"Coconino County, AZ",135820,12,24,41,7,97,3.3,-1.6,38.6,11460,8,1921
"Moffat County, CO",13290,11,12,35,15,84,-7.8,-3.5,54.8,0,0,1415
"St. Joseph County, IN",266920,12,18,42,11,92,2,-3,49,45110,17,1598
"Monroe County, AR",7860,24,30,57,15,67,9.2,-3,90.3,5690,72,304
"Darke County, OH",52540,13,14,43,7,89,7.7,1.5,23.1,3970,8,2406
"Alcorn County, MS",37280,21,23,50,13,86,6.8,-2.3,74.1,7490,20,811
"Lafayette County, FL",8820,24,24,58,10,76,11.2,-5.1,83.2,8820,100,527
"Yukon-Koyukuk Census Area, AK",5650,19,24,52,18,53,18.6,-9.2,89.1,1280,23,342
"Danville city, VA",42700,21,26,53,17,50,7.9,-3.6,89.7,42700,100,322
"Hughes County, OK",13840,22,22,59,20,75,-2,-1.7,93.6,11930,86,201
"Logan County, ND",1960,19,9,41,10,90,1.3,-5.5,49.8,510,26,1571
"Huron County, OH",59190,12,14,41,9,101,-1.8,-6.5,46.2,0,0,1685
"Champaign County, OH",39630,12,13,43,9,102,6.1,-7.3,34.6,1140,3,2045
"Dodge County, NE",36740,12,12,37,5,92,7.3,-1.6,17,400,1,2598
"Johnson County, NE",5180,12,12,51,9,84,-27,-5.6,68.6,3280,63,982
