"";"rodzaj";"kod.pocztowy";"miasto";"ulica";"Lat";"Long"
"1230";"ZPO";"10-601";"OLSZTYN";"PSTROWSKIEGO 29";53,7643;20,49829
"1231";"ZPO";"10-900";"OLSZTYN";"PI£SUDSKIEGO 44A";53,77316;20,49836
"1232";"POZ";"10-685";"OLSZTYN";"TUROWSKIEGO 1";53,74967;20,49839
"1233";"AOS";"10-414";"OLSZTYN";"DWORCOWA 4A";53,78312;20,49875
"1234";"STM";"10-686";"OLSZTYN";"BOENIGKA 44A";53,74403;20,49884
"1235";"POZ";"10-280";"OLSZTYN";"LUDWIKA ZAMENHOFA 14";53,79147;20,49886
"1236";"POZ";"10-499";"OLSZTYN";"PI£SUDSKIEGO 61";53,77454;20,49898
"1237";"PDT";"10-602";"OLSZTYN";"PSTROWSKIEGO 28B";53,76106;20,49918
"1238";"POZ";"10-602";"OLSZTYN";"PSTROWSKIEGO 28B";53,76106;20,49918
"1239";"RTM";"10-602";"OLSZTYN";"PSTROWSKIEGO 28B";53,76106;20,49918
"1240";"POZ";"10-445";"OLSZTYN";"KO£OBRZESKA 13M";53,77699;20,49949
"1241";"ZPO";"10-444";"OLSZTYN";"KO£OBRZESKA 13";53,77795;20,50068
"1242";"AOS";"10-685";"OLSZTYN";"BARCZA 48/8L";53,74915;20,50112
"1243";"STM";"10-685";"OLSZTYN";"BARCZA 48/1L";53,74915;20,50112
"1244";"SZP";"10-685";"OLSZTYN";"BARCZA 48/8L";53,74915;20,50112
"1245";"AOS";"10-437";"OLSZTYN";"DWORCOWA 28";53,77483;20,50143
"1246";"AOS";"10-437";"OLSZTYN";"DWORCOWA 28/144";53,77483;20,50143
"1247";"AOS";"10-437";"OLSZTYN";"DWORCOWA 28/15";53,77483;20,50143
"1248";"AOS";"10-900";"OLSZTYN";"DWORCOWA 28/244";53,77483;20,50143
"1249";"AOS";"10-950";"OLSZTYN";"DWORCOWA 28";53,77483;20,50143
"1250";"REH";"10-437";"OLSZTYN";"DWORCOWA 28";53,77483;20,50143
"1251";"REH";"10-950";"OLSZTYN";"DWORCOWA 28";53,77483;20,50143
"1252";"STM";"10-437";"OLSZTYN";"DWORCOWA 28/202";53,77483;20,50143
"1253";"STM";"10-437";"OLSZTYN";"DWORCOWA 28/P.226";53,77483;20,50143
"1254";"ZPO";"10-437";"OLSZTYN";"DWORCOWA 28";53,77483;20,50143
"1255";"ZPO";"10-437";"OLSZTYN";"DWORCOWA 28/G.236A";53,77483;20,50143
"1256";"ZPO";"10-473";"OLSZTYN";"DWORCOWA 28/109";53,77483;20,50143
"1257";"STM";"10-691";"OLSZTYN";"KANTA 1";53,74043;20,50188
"1258";"ZPO";"10-691";"OLSZTYN";"KANTA 1";53,74043;20,50188
"1259";"POZ";"10-561";"OLSZTYN";"¯O£NIERSKA 26";53,76661;20,50202
"1260";"STM";"10-561";"OLSZTYN";"¯O£NIERSKA 26";53,76661;20,50202
"1262";"POZ";"10-560";"OLSZTYN";"¯O£NIERSKA 49";53,76695;20,50295
"1263";"STM";"10-900";"OLSZTYN";"PI£SUDSKIEGO 54";53,77173;20,50336
"1264";"ZPO";"10-450";"OLSZTYN";"PI£SUDSKIEGO 54";53,77173;20,50336
"1265";"AOS";"10-900";"OLSZTYN";"WYSZYÑSKIEGO 16";53,76827;20,50388
"1266";"POZ";"10-455";"OLSZTYN";"WYSZYÑSKIEGO 16";53,76827;20,50388
"1267";"STM";"10-455";"OLSZTYN";"KARDYNA£A WYSZYÑSKIEGO 16/11";53,76827;20,50388
"1268";"STM";"10-455";"OLSZTYN";"WYSZYNSKIEGO 16/14";53,76827;20,50388
"1269";"STM";"10-455";"OLSZTYN";"WYSZYÑSKIEGO 16/13";53,76827;20,50388
"1270";"REH";"10-686";"OLSZTYN";"BOENIGKA 9";53,74375;20,50403
"1271";"SPO";"10-686";"OLSZTYN";"BOENIGKA 9";53,74375;20,50403
"1272";"STM";"10-691";"OLSZTYN";"KANTA 17/101";53,73627;20,50421
"1273";"POZ";"10-499";"OLSZTYN";"AL.PI£SUDSKIEGO 56A";53,77113;20,50428
"1274";"POZ";"10-450";"OLSZTYN";"AL. PI£SUDSKIEGO 56";53,77141;20,50446
"1275";"STM";"10-450";"OLSZTYN";"PI£SUDSKIEGO 56/P.213 A";53,77141;20,50446
"1276";"POZ";"10-691";"OLSZTYN";"WIECHERTA 14";53,73886;20,50486
"1277";"POZ";"10-608";"OLSZTYN";"GDYÑSKA 17";53,76043;20,50491
"1278";"AOS";"10-446";"OLSZTYN";"PANA TADEUSZA 6";53,77688;20,50517
"1279";"STM";"10-295";"OLSZTYN";"PANA TADEUSZA 6";53,77688;20,50517
"1280";"POZ";"10-456";"OLSZTYN";"KARD. STEFANA WYSZYÑSKIEGO 11";53,76692;20,50518
"1281";"ZPO";"10-455";"OLSZTYN";"WYSZYÑSKIEGO 20";53,76846;20,50549
"1282";"POZ";"10-461";"OLSZTYN";"PANA TADEUSZA 6";53,7769;20,50593
"1283";"STM";"10-461";"OLSZTYN";"PANA TADEUSZA 6";53,7769;20,50593
"1284";"AOS";"10-686";"OLSZTYN";"JERZEGO BURSKIEGO 4";53,74204;20,50605
"1285";"POZ";"10-691";"OLSZTYN";"HERDERA 3";53,73977;20,50612
"1286";"POZ";"10-685";"OLSZTYN";"KRASICKIEGO 2";53,74755;20,50622
"1287";"AOS";"10-686";"OLSZTYN";"BURSKIEGO 2/26";53,74204;20,50649
"1288";"ZPO";"10-686";"OLSZTYN";"BURSKIEGO 2/26";53,74204;20,50649
"1289";"POZ";"10-691";"OLSZTYN";"WIECHERTA 15";53,73822;20,50753
"1290";"AOS";"10-357";"OLSZTYN";"JAGIELLOÑSKA 78";53,80182;20,50895
"1291";"AOS";"10-357";"OLSZTYN";"JAGIELLOÑSKA 78 .";53,80182;20,50895
"1292";"REH";"10-357";"OLSZTYN";"JAGIELLOÑSKA 78";53,80182;20,50895
"1293";"SOK";"10-357";"OLSZTYN";"JAGIELLOÑSKA 78";53,80182;20,50895
"1294";"SZP";"10-357";"OLSZTYN";"JAGIELLOÑSKA 78";53,80182;20,50895
"1295";"POZ";"10-431";"OLSZTYN";"KO£OBRZESKA 29";53,77893;20,5094
"1296";"ZPO";"10-683";"OLSZTYN";"AUGUSTOWSKA 10";53,76635;20,50996
"1297";"ZPO";"10-457";"OLSZTYN";"WYSZYÑSKIEGO 1";53,76994;20,51006
"1299";"STM";"10-691";"OLSZTYN";"PANASA 1";53,74078;20,51225
"1300";"POZ";"10-681";"OLSZTYN";"BALBINY ŒWITYCZ-WIDACKIEJ 3";53,73988;20,51297
"1301";"POZ";"10-691";"OLSZTYN";"BALBINY ŒWITYCZ-WIDACKIEJ 3";53,73988;20,51297
"1302";"ZPO";"10-408";"OLSZTYN";"ŒWITYCZ-WIDACKIEJ 3";53,73988;20,51297
"1303";"POZ";"10-690";"OLSZTYN";"JEZIO£OWICZ 2";53,74309;20,51314
"1304";"STM";"10-690";"OLSZTYN";"JEZIO£OWICZA 2/130";53,74309;20,51314
"1305";"AOS";"10-691";"OLSZTYN";"GÊBIKA 10 B";53,7402;20,51315
"1306";"REH";"10-691";"OLSZTYN";"GÊBIKA 10 B";53,7402;20,51315
"1307";"STM";"10-691";"OLSZTYN";"GÊBIKA 10 B";53,7402;20,51315
"1308";"AOS";"10-691";"OLSZTYN";"ŒWITYCZ-WIDACKIEJ 3";53,73977;20,51347
"1309";"POZ";"10-691";"OLSZTYN";"ŒWITYCZ-WIDACKIEJ 3";53,73977;20,51347
"1310";"STM";"10-691";"OLSZTYN";"ŒWITYCZ-WIDACKIEJ 3/110";53,73977;20,51347
"1311";"STM";"10-691";"OLSZTYN";"ŒWITYCZ-WIDACKIEJ 3/P.115";53,73977;20,51347
"1312";"STM";"10-691";"OLSZTYN";"ŒWITYCZ-WIDACKIEJ 3/P.116";53,73977;20,51347
"1313";"ZPO";"10-691";"OLSZTYN";"ŒWITYCZ-WIDACKIEJ 3";53,73977;20,51347
"1314";"SPO";"10-691";"OLSZTYN";"GÊBIKA 10B";53,73975;20,51354
"1315";"POZ";"10-691";"OLSZTYN";"W£ADYS£AWA GÊBIKA 10B";53,73975;20,51354
"1316";"POZ";"10-689";"OLSZTYN";"STRAMKAWSKEJ 13";53,74288;20,51534
"1317";"ZPO";"10-434";"OLSZTYN";"KO£OBRZESKA 50";53,77945;20,52186
"1318";"SPO";"10-373";"WAD¥G";"LEŒMIANA 2";53,81976;20,5223
"1321";"AOS";"10-424";"OLSZTYN";"BUDOWLANA 3A";53,7841;20,53014
"1322";"SZP";"10-424";"OLSZTYN";"BUDOWLANA 3A";53,7841;20,53014
