"";"rodzaj";"kod.pocztowy";"miasto";"ulica";"Lat";"Long"
"1006";"ZPO";"10-576";"OLSZTYN";"PI£SUDSKIEGO 2/8";53,77809;20,48049
"1007";"POZ";"10-226";"OLSZTYN";"WOJSKA POLSKIEGO 33/5";53,78431;20,48089
"1008";"POZ";"10-226";"OLSZTYN";"WOJSKA POLSKIEGO 33/4";53,78396;20,48113
"1009";"POZ";"10-048";"OLSZTYN";"GRZEGORZEWSKIEJ 6";53,76557;20,48119
"1010";"POZ";"10-117";"OLSZTYN";"1-GO MAJA 3";53,78049;20,4813
"1011";"POZ";"10-226";"OLSZTYN";"WOJSKA POLSKIEGO 33/6";53,78472;20,48164
"1012";"POZ";"10-224";"OLSZTYN";"WOJSKA POLSKIEGO 19/23";53,78946;20,48174
"1014";"STM";"10-228";"OLSZTYN";"AL.WOJSKA POLSKIEGO 33/11";53,78563;20,48197
"1015";"ZPO";"10-900";"OLSZTYN";"WOJSKA POLSKIEGO 19/24";53,79067;20,48205
"1016";"AOS";"10-290";"OLSZTYN";"ALEJA WOJSKA POLSKIEGO 80/18";53,78373;20,48208
"1017";"AOS";"10-290";"OLSZTYN";"WOJSKA POLSKIEGO 80";53,78373;20,48208
"1018";"AOS";"10-290";"OLSZTYN";"WOJSKA POLSKIEGO 80/18";53,78373;20,48208
"1019";"SZP";"10-290";"OLSZTYN";"WOJSKA POLSKIEGO 80";53,78373;20,48208
"1020";"ZPO";"10-290";"OLSZTYN";"WOJSKA POLSKIEGO 80";53,78373;20,48208
"1021";"AOS";"10-602";"OLSZTYN";"WARMIÑSKA 14/14";53,77929;20,48233
"1022";"ZPO";"10-602";"OLSZTYN";"WARMIÑSKA 14/14";53,77929;20,48233
"1023";"POZ";"10-527";"OLSZTYN";"PARTYZANTÓW 85";53,7814;20,48245
"1024";"STM";"10-046";"OLSZTYN";"NIEPODLEG£OŒCI 87A/11";53,76913;20,48251
"1025";"AOS";"10-295";"OLSZTYN";"AL. WOJSKA POLSKIEGO 39";53,7914;20,4827
"1026";"SZP";"10-295";"OLSZTYN";"AL. WOJSKA POLSKIEGO 39";53,7914;20,4827
"1027";"PSY";"10-228";"OLSZTYN";"WOJSKA POLSKIEGO 35";53,7952;20,4828
"1028";"STM";"10-228";"OLSZTYN";"WOJSKA POLSKIEGO 35";53,7952;20,4828
"1029";"POZ";"10-226";"OLSZTYN";"ALEJA WOJSKA POLSKIEGO 33";53,79583;20,48286
"1030";"POZ";"10-226";"OLSZTYN";"WOJSKA POLSKIEGO 33";53,79583;20,48286
"1031";"ZPO";"10-576";"OLSZTYN";"PI£SUDSKIEGO 16";53,77711;20,48302
"1032";"AOS";"10-229";"OLSZTYN";"AL. WOJSKA POLSKIEGO 30";53,79833;20,48303
"1033";"OPH";"10-226";"OLSZTYN";"AL WOJSKA POLSKIEGO 30";53,79833;20,48303
"1034";"REH";"10-229";"OLSZTYN";"AL.WOJSKA POLSKIEGO 30.";53,79833;20,48303
"1035";"SPO";"10-226";"OLSZTYN";"AL. WOJSKA POLSKIEGO 30";53,79833;20,48303
"1036";"SZP";"10-229";"OLSZTYN";"AL. WOJSKA POLSKIEGO 30";53,79833;20,48303
"1037";"AOS";"10-228";"OLSZTYN";"WOJSKA POLSKIEGO 37";53,79375;20,48311
"1038";"POZ";"10-228";"OLSZTYN";"WOJSKA POLSKIEGO 37";53,79375;20,48311
"1039";"PRO";"10-228";"OLSZTYN";"WOJSKA POLSKIEGO 37";53,79375;20,48311
"1040";"PSY";"10-228";"OLSZTYN";"WOJSKA POLSKIEGO 37";53,79375;20,48311
"1041";"REH";"10-228";"OLSZTYN";"WOJSKA POLSKIEGO 37";53,79375;20,48311
"1042";"SOK";"10-228";"OLSZTYN";"WOJSKA POLSKIEGO 37";53,79375;20,48311
"1043";"SZP";"10-228";"OLSZTYN";"WOJSKA POLSKIEGO 37";53,79375;20,48311
"1044";"ZPO";"10-228";"OLSZTYN";"ALEJA WOJSKA POLSKIEGO 37";53,79375;20,48311
"1045";"PRO";"10-351";"OLSZTYN";"¯EROMSKIEGO 8A/2";53,78671;20,48343
"1046";"AOS";"10-555";"OLSZTYN";"KOŒCIUSZKI 92/12U";53,77191;20,48385
"1047";"AOS";"10-555";"OLSZTYN";"TADEUSZA KOŒCIUSZKI 92/34";53,77191;20,48385
"1048";"AOS";"10-527";"OLSZTYN";"PARTYZANTÓW 80";53,78174;20,48397
"1049";"STM";"10-527";"OLSZTYN";"PARTYZANTÓW 80";53,78174;20,48397
"1050";"OPH";"10-555";"OLSZTYN";"KOŒCIUSZKI 86";53,7729;20,48443
"1051";"SPO";"10-555";"OLSZTYN";"KOŒCIUSZKI 86";53,7729;20,48443
"1052";"AOS";"10-544";"OLSZTYN";"WARMIÑSKA 27";53,78156;20,48478
"1053";"POZ";"10-544";"OLSZTYN";"WARMIÑSKA 27";53,78156;20,48478
"1054";"ZPO";"10-552";"OLSZTYN";"KOŒCIUSZKI 84D";53,77347;20,48483
"1055";"POZ";"10-295";"OLSZTYN";"PUSZKINA 11";53,7896;20,48499
"1056";"AOS";"10-561";"OLSZTYN";"OBROÑCÓW TOBRUKU 1/1";53,76418;20,48506
"1057";"ZPO";"10-561";"OLSZTYN";"OBROÑCÓW TOBRUKU 1/1";53,76418;20,48506
"1058";"POZ";"10-271";"OLSZTYN";"JAGIELLOÑSKA 8";53,78579;20,48515
"1059";"STM";"10-266";"OLSZTYN";"OKRZEI 25/2";53,7852;20,48522
"1060";"AOS";"11-236";"OLSZTYN";"SYBIRAKÓW 36";53,79598;20,48522
"1061";"AOS";"10-236";"OLSZTYN";"SYBIRAKÓW 36";53,79532;20,48527
"1062";"RTM";"10-236";"OLSZTYN";"ALEJA SYBIRAKÓW 36";53,79532;20,48527
"1063";"POZ";"10-295";"OLSZTYN";"PUSZKINA 13";53,79036;20,48544
"1064";"PSY";"10-295";"OLSZTYN";"PUSZKINA 13";53,79036;20,48544
"1065";"POZ";"10-551";"OLSZTYN";"ADAMA MICKIEWICZA 6";53,77918;20,48551
